A	B	C	D	E	F	G
1	0.001	0.001	0.001	0.001	0.001	0.001
0.001	1	0.001	0.001	0.001	0.001	0.001
0.001	0.001	1	0.5	0.001	0.001	0.001
0.001	0.001	0.5	1	0.001	0.001	0.001
0.001	0.001	0.001	0.001	1	0.5	0.001
0.001	0.001	0.001	0.001	0.5	1	0.5
0.001	0.001	0.001	0.001	0.001	0.5	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.001	0.001	0.001	0.001	0.001
0.5	1	0.001	0.001	0.001	0.001	0.001
0.001	0.001	1	0.5	0.001	0.001	0.001
0.001	0.001	0.5	1	0.001	0.001	0.001
0.001	0.001	0.001	0.001	1	0.5	0.001
0.001	0.001	0.001	0.001	0.5	1	0.5
0.001	0.001	0.001	0.001	0.001	0.5	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.001	0.001	0.001	0.001	0.001
0.5	1	0.001	0.001	0.001	0.001	0.001
0.001	0.001	1	0.5	0.001	0.001	0.001
0.001	0.001	0.5	1	0.5	0.001	0.001
0.001	0.001	0.001	0.5	1	0.5	0.001
0.001	0.001	0.001	0.001	0.5	1	0.001
0.001	0.001	0.001	0.001	0.001	0.001	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.001	0.001	0.001	0.5	0.001
0.5	1	0.5	0.001	0.001	0.001	0.001
0.001	0.5	1	0.5	0.5	0.001	0.001
0.001	0.001	0.5	1	0.5	0.5	0.001
0.001	0.001	0.5	0.5	1	0.001	0.001
0.5	0.001	0.001	0.5	0.001	1	0.001
0.001	0.001	0.001	0.001	0.001	0.001	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.001	0.001	0.001	0.5	0.5
0.5	1	0.5	0.001	0.001	0.001	0.001
0.001	0.5	1	0.5	0.5	0.001	0.001
0.001	0.001	0.5	1	0.5	0.5	0.001
0.001	0.001	0.5	0.5	1	0.001	0.001
0.5	0.001	0.001	0.5	0.001	1	0.001
0.5	0.001	0.001	0.001	0.001	0.001	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.001	0.001	0.001	0.001	0.001
0.5	1	0.5	0.001	0.001	0.001	0.001
0.001	0.5	1	0.5	0.001	0.001	0.001
0.001	0.001	0.5	1	0.5	0.5	0.001
0.001	0.001	0.001	0.5	1	0.001	0.5
0.001	0.001	0.001	0.5	0.001	1	0.001
0.001	0.001	0.001	0.001	0.5	0.001	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.001	0.001	0.5	0.001	0.5	0.5
0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.5	0.001	0.001	1	0.5	0.5	0.001
0.001	0.001	0.001	0.5	1	0.001	0.5
0.5	0.001	0.001	0.5	0.001	1	0.001
0.5	0.001	0.001	0.001	0.5	0.001	1
 	 	 	 	 	 	 
END	 	 	 	 	 	 
