scientificName	earliestAge	latestAge	higherGeography
Acanthoscyllium sahelalmae	85.8	83.601	Tethys
Adnetoscyllium angloparisensis	83.6	80.601	Tethys
Adnetoscyllium angloparisensis	83.6	80.601	Tethys
Adnetoscyllium angloparisensis	85.8	83.601	Tethys
Adnetoscyllium angloparisensis	83.6	80.601	Outside_Tethys
Adnetoscyllium angloparisensis	83.6	80.601	Outside_Tethys
Adnetoscyllium angloparisensis	83.6	80.601	Outside_Tethys
Adnetoscyllium angloparisensis	83.6	80.601	Outside_Tethys
Adnetoscyllium angloparisensis	85.8	83.601	Outside_Tethys
Adnetoscyllium angloparisensis	86.3	83.601	Outside_Tethys
Almascyllium cheikheliasi	85.8	83.601	Tethys
Annea altucuspis	166.1	163.101	Tethys
Annea altucuspis	163.1	157.301	Tethys
Annea altucuspis	166.1	163.101	Tethys
Annea carinata	170.3	168.301	Tethys
Annea carinata	174.2	170.301	Tethys
Annea maubeugei	183.7	174.201	Tethys
Annea maubeugei	183.7	174.201	Tethys
Annea myriacuspis	166.1	163.101	Outside_Tethys
Brachaelurid (gen. nov.) roklumensis	130.8	126.301	Outside_Tethys
Cantioscyllium alhaulfi	130.8	126.301	Tethys
Cantioscyllium bighornensis	76.4	72.101	Outside_Tethys
Cantioscyllium bighornensis	86.3	83.601	Outside_Tethys
Cantioscyllium bighornensis	89.8	86.301	Outside_Tethys
Cantioscyllium brachyplicatum	100.5	96.201	Tethys
Cantioscyllium clementsi	83.6	72.101	Outside_Tethys
Cantioscyllium decipiens	100.5	93.901	Tethys
Cantioscyllium decipiens	89.8	86.301	Outside_Tethys
Cantioscyllium decipiens	92.9	91.401	Outside_Tethys
Cantioscyllium decipiens	92.9	91.401	Outside_Tethys
Cantioscyllium decipiens	95.5	93.901	Outside_Tethys
Cantioscyllium decipiens	95.5	93.901	Outside_Tethys
Cantioscyllium decipiens	95.5	93.901	Tethys
Cantioscyllium decipiens	100.5	93.901	Outside_Tethys
Cantioscyllium decipiens	100.5	96.201	Outside_Tethys
Cantioscyllium decipiens	100.5	96.201	Outside_Tethys
Cantioscyllium decipiens	100.5	96.201	Outside_Tethys
Cantioscyllium decipiens	100.5	96.201	Outside_Tethys
Cantioscyllium decipiens	100.5	96.201	Outside_Tethys
Cantioscyllium decipiens	100.5	89.801	Outside_Tethys
Cantioscyllium decipiens	100.5	93.901	Outside_Tethys
Cantioscyllium decipiens	89.8	86.301	Outside_Tethys
Cantioscyllium decipiens	91.4	89.801	Outside_Tethys
Cantioscyllium decipiens	92.9	91.401	Outside_Tethys
Cantioscyllium decipiens	93.9	89.801	Outside_Tethys
Cantioscyllium estesi	70.1	66.001	Outside_Tethys
Cantioscyllium estesi	70.6	66.001	Outside_Tethys
Cantioscyllium estesi	70.6	66.001	Outside_Tethys
Cantioscyllium estesi	76.4	72.101	Outside_Tethys
Cantioscyllium estesi	83.6	72.101	Outside_Tethys
Cantioscyllium hashimiaensis	85.8	83.601	Tethys
Cantioscyllium lobatum	93.9	89.801	Tethys
Cantioscyllium markaguntensis	76.4	70.101	Outside_Tethys
Cantioscyllium markaguntensis	89.8	86.301	Outside_Tethys
Cantioscyllium meyeri	70.1	66.001	Outside_Tethys
Cantioscyllium meyeri	83.6	80.601	Outside_Tethys
Cantioscyllium nessovi	89.8	83.601	Tethys
Cantioscyllium nessovi	89.8	86.301	Tethys
Cederstroemia havreensis	76.4	72.101	Outside_Tethys
Cederstroemia havreensis	83.6	80.601	Outside_Tethys
Cederstroemia havreensis	83.6	80.601	Outside_Tethys
Cederstroemia havreensis	83.6	80.601	Outside_Tethys
Cederstroemia havreensis	83.6	80.601	Outside_Tethys
Cederstroemia havreensis	83.6	80.601	Outside_Tethys
Cederstroemia havreensis	85.8	83.601	Outside_Tethys
Cederstroemia nilsi	83.6	80.601	Outside_Tethys
Cederstroemia siverssoni	91.4	89.801	Tethys
Cederstroemia siverssoni	93.9	89.801	Tethys
Cederstroemia siverssoni	113	100.501	Outside_Tethys
Cederstroemia siverssoni	110.2	107.601	Outside_Tethys
Cederstroemia siverssoni	113	110.201	Tethys
Cederstroemia siverssoni	92.9	91.401	Outside_Tethys
Cederstroemia siverssoni	96.2	95.501	Outside_Tethys
Cederstroemia siverssoni	100.5	96.201	Outside_Tethys
Cederstroemia siverssoni	100.5	96.201	Outside_Tethys
Cederstroemia triangulata	76.4	72.101	Outside_Tethys
Cederstroemia triangulata	83.6	72.101	Outside_Tethys
Cederstroemia ziaensis	86.3	83.601	Outside_Tethys
Chiloscyllium broennimanni	72.1	66.001	Outside_Tethys
Chiloscyllium frequens	76.4	72.101	Outside_Tethys
Chiloscyllium frequens	76.4	72.101	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	83.6	80.601	Outside_Tethys
Chiloscyllium frequens	85.8	83.601	Outside_Tethys
Chiloscyllium frequens	85.8	83.601	Outside_Tethys
Chiloscyllium frequens	85.8	83.601	Outside_Tethys
Chiloscyllium frequens	85.8	83.601	Outside_Tethys
Chiloscyllium frequens	86.3	83.601	Outside_Tethys
Chiloscyllium gaemersi	76.4	72.101	Outside_Tethys
Chiloscyllium grandis	86.3	83.601	Outside_Tethys
Chiloscyllium greeni	91.4	89.801	Outside_Tethys
Chiloscyllium greeni	91.4	89.801	Outside_Tethys
Chiloscyllium greeni	92.9	91.401	Outside_Tethys
Chiloscyllium greeni	93.9	89.801	Outside_Tethys
Chiloscyllium humboldti	93.9	89.801	Tethys
Chiloscyllium meraense	56	47.801	Outside_Tethys
Chiloscyllium meraense	56	47.801	Outside_Tethys
Chiloscyllium meraense	56	47.801	Outside_Tethys
Chiloscyllium meraense	56	47.801	Outside_Tethys
Chiloscyllium mereretiae	95.5	93.901	Tethys
Chiloscyllium minutum	61.6	59.201	Outside_Tethys
Chiloscyllium minutum	61.6	59.201	Outside_Tethys
Chiloscyllium missouriense	76.4	72.101	Outside_Tethys
