it	posterior	prior	likelihood	d12_t0.0	d21_t0.0	e1_t0.0	e2_t0.0	q1_t0.0	q2_t0.0	alpha	k1_d	k1_e	k1_s	hp_rate	beta
0	-2053.7774609904186	-0.2230532008239086	-2053.5544077895947	0.05370610479540359	0.12738743427204186	0.010414570453409279	0.03154509130305388	2.772588722239781	2.772588722239781	10.0	0.0	0.0	0.0	1.0	1.0
1000000	-1250.052006932572	-0.364525471206397	-1249.6874814613657	0.04340453891629874	0.009639926814930849	0.11987598215286553	0.19160502332230187	0.2700580196218514	0.5764711179342493	9233504598.035658	0.0	0.0	0.0	1.0	1.0
2000000	-1250.2465838997489	-0.3930725537133363	-1249.8535113460355	0.03879012612317982	0.01570464393267681	0.14281945565538937	0.19575832800209034	0.2651075911307608	0.5916106852378344	2529059529019.4478	0.0	0.0	0.0	1.0	1.0
3000000	-1249.110414255858	-0.3798987482623466	-1248.7305155075956	0.028856164019008063	0.005295888613744477	0.15413960617020095	0.1916070894593931	0.3390817607051935	0.6054988300078961	8.342259488275523e+25	0.0	0.0	0.0	1.0	1.0
4000000	-1251.482312751267	-0.4109736496972343	-1251.0713391015697	0.04294984043082822	0.01809402711671935	0.12949076436502518	0.22043901778466155	0.27986037675582964	0.5476954670507709	4.971582344311673e+33	0.0	0.0	0.0	1.0	1.0
5000000	-1249.3680801627609	-0.35146737106606224	-1249.0166127916948	0.031895338265107695	0.001156048656735018	0.15787319796404303	0.16054278618017648	0.31660711766059174	0.5482216092511941	7.051694305107296e+39	0.0	0.0	0.0	1.0	1.0
6000000	-1250.1662015782	-0.41108959441646686	-1249.7551119837833	0.016040537507671527	0.01081459971664446	0.17152993397118851	0.21270452322096237	0.3284558586813503	0.5661824072073494	1.8980682859929867e+52	0.0	0.0	0.0	1.0	1.0
7000000	-1250.4058806400362	-0.3485235050016428	-1250.0573571350346	0.017838845579971153	0.010276250656127795	0.1347659532123862	0.1856424555531577	0.24457496918640692	0.5895894085895292	1.1386755839286194e+59	0.0	0.0	0.0	1.0	1.0
8000000	-1248.5541318276134	-0.3676316945270347	-1248.1865001330864	0.02069425591646165	0.006641279064169928	0.1514183024513441	0.188877857095059	0.29805313200460043	0.516070699388518	7.201296327497944e+58	0.0	0.0	0.0	1.0	1.0
9000000	-1251.9403876664273	-0.37479115149583253	-1251.5655965149315	0.02909066119706887	0.01662588629964829	0.13160307601622595	0.19747152798288944	0.24632282151512808	0.5202264754962037	2.5537232959249705e+66	0.0	0.0	0.0	1.0	1.0
