scientificName	earliestAge	latestAge	higherGeography
Acanthoscyllium_sahelalmae	86.3	83.601	Tethys
Adnetoscyllium_angloparisensis	86.3	83.601	Tethys
Adnetoscyllium_angloparisensis	86.3	83.601	Tethys
Adnetoscyllium_angloparisensis	83.6	72.101	Tethys
Adnetoscyllium_angloparisensis	83.6	72.101	Tethys
Adnetoscyllium_angloparisensis	83.6	72.101	Tethys
Adnetoscyllium_angloparisensis	83.6	72.101	Tethys
Adnetoscyllium_angloparisensis	83.6	72.101	Tethys
Adnetoscyllium_angloparisensis	83.6	72.101	Tethys
Adnetoscyllium_angloparisensis	86.3	83.601	Tethys
Almascyllium_cheikheliasi	86.3	83.601	Tethys
Annea_altucuspis	163.1	157.301	Tethys
Annea_altucuspis	166.1	163.101	Tethys
Annea_altucuspis	166.1	163.101	Tethys
Annea_carinata	170.3	168.301	Tethys
Annea_carinata	174.2	170.301	Tethys
Annea_maubeugei	183.7	174.201	Tethys
Annea_maubeugei	183.7	174.201	Tethys
Annea_myriacuspis	166.1	163.101	Tethys
Brachaelurid (gen. nov.)_roklumensis	130.8	126.301	Tethys
Cantioscyllium_alhaulfi	130.8	126.301	Tethys
Cantioscyllium_bighornensis	83.6	72.101	Outside_Tethys
Cantioscyllium_bighornensis	86.3	83.601	Outside_Tethys
Cantioscyllium_bighornensis	89.8	86.301	Outside_Tethys
Cantioscyllium_brachyplicatum	100.5	93.901	Tethys
Cantioscyllium_clementsi	83.6	72.101	Outside_Tethys
Cantioscyllium_decipiens	100.5	93.901	Outside_Tethys
Cantioscyllium_decipiens	100.5	93.901	Tethys
Cantioscyllium_decipiens	100.5	93.901	Tethys
Cantioscyllium_decipiens	100.5	93.901	Tethys
Cantioscyllium_decipiens	100.5	93.901	Outside_Tethys
Cantioscyllium_decipiens	100.5	93.901	Tethys
Cantioscyllium_decipiens	100.5	93.901	Tethys
Cantioscyllium_decipiens	100.5	93.901	Tethys
Cantioscyllium_decipiens	100.5	93.901	Tethys
Cantioscyllium_decipiens	93.9	89.801	Tethys
Cantioscyllium_decipiens	93.9	89.801	Outside_Tethys
Cantioscyllium_decipiens	93.9	89.801	Tethys
Cantioscyllium_decipiens	93.9	89.801	Tethys
Cantioscyllium_decipiens	100.5	89.801	Tethys
Cantioscyllium_decipiens	89.8	86.301	Tethys
Cantioscyllium_decipiens	89.8	86.301	Outside_Tethys
Cantioscyllium_decipiens	93.9	89.801	Outside_Tethys
Cantioscyllium_decipiens	100.5	93.901	Outside_Tethys
Cantioscyllium_decipiens	100.5	93.901	Tethys
Cantioscyllium_estesi	83.6	72.101	Outside_Tethys
Cantioscyllium_estesi	72.1	66.001	Outside_Tethys
Cantioscyllium_estesi	72.1	66.001	Outside_Tethys
Cantioscyllium_estesi	72.1	66.001	Outside_Tethys
Cantioscyllium_estesi	83.6	72.101	Outside_Tethys
Cantioscyllium_hashimiaensis	86.3	83.601	Tethys
Cantioscyllium_lobatum	93.9	89.801	Tethys
Cantioscyllium_markaguntensis	76.4	70.101	Outside_Tethys
Cantioscyllium_markaguntensis	89.8	86.301	Outside_Tethys
Cantioscyllium_meyeri	83.6	72.101	Outside_Tethys
Cantioscyllium_meyeri	72.1	66.001	Outside_Tethys
Cantioscyllium_nessovi	89.8	83.601	Tethys
Cantioscyllium_nessovi	89.8	86.301	Tethys
Cederstroemia_havreensis	86.3	83.601	Tethys
Cederstroemia_havreensis	83.6	72.101	Tethys
Cederstroemia_havreensis	83.6	72.101	Tethys
Cederstroemia_havreensis	83.6	72.101	Tethys
Cederstroemia_havreensis	83.6	72.101	Tethys
Cederstroemia_havreensis	83.6	72.101	Tethys
Cederstroemia_havreensis	83.6	72.101	Tethys
Cederstroemia_nilsi	83.6	72.101	Tethys
Cederstroemia_siverssoni	113	100.501	Tethys
Cederstroemia_siverssoni	113	100.501	Tethys
Cederstroemia_siverssoni	100.5	93.901	Tethys
Cederstroemia_siverssoni	100.5	93.901	Tethys
