scientificName	higherGeography
Brachaelurus_colcloughi 	Outside_Tethys
Brachaelurus_waddi 	Outside_Tethys
Chiloscyllium_arabicum	Outside_Tethys
Chiloscyllium_burmensis	Outside_Tethys
Chiloscyllium_griseum	Outside_Tethys
Chiloscyllium_hasseltii	Outside_Tethys
Chiloscyllium_indicum	Outside_Tethys
Chiloscyllium_plagiosum	Outside_Tethys
Chiloscyllium_punctatum	Outside_Tethys
Cirrhoscyllium_formosanum	Outside_Tethys
Eucrossorhinus_dasypogon	Outside_Tethys
Ginglymostoma_cirratum	Outside_Tethys
Ginglymostoma_unami	Outside_Tethys
Hemiscyllium_galei	Outside_Tethys
Hemiscyllium_hallstromi	Outside_Tethys
Hemiscyllium_halmahera	Outside_Tethys
Hemiscyllium_henryi	Outside_Tethys
Hemiscyllium_michaeli	Outside_Tethys
Hemiscyllium_ocellatum	Outside_Tethys
Hemiscyllium_strahani	Outside_Tethys
Hemiscyllium_trispeculare	Outside_Tethys
Nebrius_ferrugineus	Outside_Tethys
Orectolobus_floridus	Outside_Tethys
Orectolobus_halei	Outside_Tethys
Orectolobus_hutchinsi	Outside_Tethys
Orectolobus_japonicus	Outside_Tethys
Orectolobus_leptolineatus	Outside_Tethys
Orectolobus_maculatus	Outside_Tethys
Orectolobus_ornatus	Outside_Tethys
Orectolobus_parvimaculatus	Outside_Tethys
Orectolobus_reticulatus	Outside_Tethys
Orectolobus_wardi	Outside_Tethys
Parascyllium_collare	Outside_Tethys
Parascyllium_ferrugineum	Outside_Tethys
Pseudoginglymostoma_brevicaudatum	Outside_Tethys
Rhincodon_typus	Outside_Tethys
Stegostoma_fasciatum	Outside_Tethys
Sutorectus_tentaculatus	Outside_Tethys
