Site	Latitude	Longitude	Earliest Age	Latest Age	Fauna
Akaura Fm.	37.052	136.946	15.97	11.621	Other sharks
Akeyo Fm.	35.362	137.254	23.03	15.971	Both
Aktulagay	47.46	55.05	56	47.801	Other sharks
Angostura Fm.	0.001	-76.66	13.82	7.247	Both
Angoumé (Miretrain, niv. 0)	43.688	-1.137	47.8	41.001	Orectolobiformes
Angoumé (Miretrain, niv. 1)	43.688	-1.137	47.8	41.001	Orectolobiformes
Angoumé (Miretrain, niv. 2)	43.688	-1.137	41	38.001	Orectolobiformes
Antarctica (La Meseta Fm. 4)	-64.239	-56.603	56	47.801	Both
Antarctica (La Meseta Fm. 5)	-64.239	-56.603	56	47.801	Both
Antarctica (La Meseta Fm. 6)	-64.239	-56.603	47.8	41.001	Both
Antarctica (La Meseta Fm. 7)	-64.239	-56.603	38	33.901	Other sharks
Asbury Park	40.22	-74.012	41.3	15.971	Orectolobiformes
Ashley Phosphate Beds	32.788	-79.94	23.03	2.589	Orectolobiformes
Aznag (Morocco)	31.294	-8.073	47.8	41.001	Orectolobiformes
Bahía Inglesa Fm.	-27.102	-70.856	15.97	3.601	Both
Baja California (Pia)	30.534	-115.938	3.6	2.589	Other sharks
Baja California (Zan)	30.534	-115.938	5.333	3.601	Other sharks
Bandah Fm.	25.048	75.778	41	38.001	Both
basal Gosport Sand Fm.	31.585	-87.591	41	38.001	Orectolobiformes
Bashi Fm.	32.4	-88.7	56	47.801	Both
Batesford	-38.086	144.269	23.03	15.971	Orectolobiformes
Birket Qarun Fm.	29.471	30.624	38	33.901	Both
Bissex Hill Fm	13.23	-59.58	23.03	15.971	Other sharks
Borbon/Onzole Fm.	01.09	-78.97	11.62	5.334	Other sharks
Brunei (Up. Mio)	4.48	114.65	11.62	5.334	Other sharks
Bruxelle	50.847	4.352	47.8	41.001	Orectolobiformes
Bugti Hills	28.833	69	23.03	5.334	Orectolobiformes
Bugti Mb. (Chitarawa Fm.)	28.833	69	33.9	28.101	Other sharks
Burnham-on-Crouch	51.636	0.846	56	47.801	Orectolobiformes
Cabinda	-5.056	12.321	20.44	15.971	Orectolobiformes
Călata (Ciuleni Mb.)	46.803	22.996	41	38.001	Orectolobiformes
Canoa Formation	-0.46	-80.45	5.333	0.0118	Other sharks
Cantaure Fm.	9.3	-64.352	20.44	13.821	Both
Caucasus (Bartonian)	44.33	39.8	41	38.001	Other sharks
Chagres Sandstone Member	9.59	-79.95	7.25	5.334	Other sharks
Chandler Bridge Fm.	32.998	-80.149	28.1	23.031	Orectolobiformes
Chhasra Fm.	22.96	69.81	15.97	11.621	Other sharks
Chilcatay Fm (Peru)	-13.78	-76.1	20.44	15.971	Other sharks
Chile (Coquimbo Fm.)	-29.95	-71.33	5.333	2.589	Other sharks
Chile (Río de Las Minas )	-52.2	-70.83	38	33.901	Other sharks
Chile (Sierra Dorotea)	-51.27	-72.34	41.3	33.901	Other sharks
Chucunaque Fm.	8.67	-77.92	11.63	7.251	Other sharks
Colombia (Castilletes Fm.)	11.851	-71.326	16.7	14.2	Both
Colombia (Jimol Fm.)	11.58	71.22	20.44	15.971	Other sharks
Colombia (Uitpa Fm)	11.56	-72.51	23.03	20.441	Other sharks
Colombia (undiff. Castilletes/Jimal Fm.)	11.851	-71.326	20.44	13.821	Other sharks
