Family	scientificName	age	Latitude	Longitude	p_lng_MERDITH2021	p_lat_MERDITH2021	p_lng_PALEOMAP	p_lat_PALEOMAP	p_lng_MATTHEWS2016_pmag_ref	p_lat_MATTHEWS2016_pmag_ref	range_p_lat	max_dist
Hemiscylliidae	Acanthoscyllium sahelalmae	84.701	33.994	35.656	38.1599	12.818	31.071	15.3511	37.5763	12.6264	2.7247	815.153
Hemiscylliidae	Adnetoscyllium angloparisensis	82.1	49.79	3.64	12.7207	40.1312	5.5977	39.9615	11.592	39.5918	0.539400000000001	607.978
Hemiscylliidae	Adnetoscyllium angloparisensis	82.1	49.508	4.081	13.0949	39.8503	5.9537	39.6678	11.9722	39.3182	0.5321	612.125
Hemiscylliidae	Adnetoscyllium angloparisensis	82.1	50.882	-1.344	8.5354	41.2439	1.4911	41.2205	7.4077	40.6254	0.618499999999997	590.433
Hemiscylliidae	Adnetoscyllium angloparisensis	82.1	51.489	-2.504	7.5791	41.8643	0.575	41.8741	6.4407	41.2281	0.646000000000001	581.321
Hemiscylliidae	Adnetoscyllium angloparisensis	82.1	51.489	-2.504	7.5791	41.8643	0.575	41.8741	6.4407	41.2281	0.646000000000001	581.321
Hemiscylliidae	Adnetoscyllium angloparisensis	82.1	51.447	-1.345	8.5469	41.8088	1.5381	41.7844	7.4007	41.1904	0.618400000000001	582.375
Hemiscylliidae	Adnetoscyllium angloparisensis	84.701	49.797	3.508	13.306	40.5051	5.0904	39.9216	12.0118	39.7129	0.792200000000001	702.11
Hemiscylliidae	Adnetoscyllium angloparisensis	84.701	51.447	-1.345	9.2088	42.1586	1.1037	41.6798	7.9073	41.2804	0.8782	674.206
Hemiscylliidae	Adnetoscyllium angloparisensis	84.951	52.029	0.86	11.1413	42.7712	2.936	42.1966	9.776	41.9067	0.8645	677.381
Hemiscylliidae	Adnetoscyllium sp.	98.35	52.128	0.037	16.0327	43.9996	1.5957	40.9517	13.4595	42.5696	3.0479	1232.646
Hemiscylliidae	Adnetoscyllium sp.	92.15	49.597	4.325	16.8261	41.2999	5.0206	39.4789	14.9419	40.022	1.821	1021.697
Hemiscylliidae	Almascyllium cheikheliasi	84.701	33.994	35.656	38.1599	12.818	31.071	15.3511	37.5763	12.6264	2.7247	815.153
Hemiscylliidae	Almascyllium sp.	98.35	45.936	-0.69	15.6219	37.7971	1.2683	34.7469	13.461	36.3593	3.0502	1331.855
Orectolobiformes incert. fam.	Annea altucuspis	160.2	50.452	19.521	40.547	38.7343	26.3539	42.2636	40.3987	39.8476	3.5293	1263.541
Orectolobiformes incert. fam.	Annea altucuspis	164.601	51.907	10.522	32.4917	38.807	18.6403	42.4404	32.2476	39.0808	3.63339999999999	1237.756
Orectolobiformes incert. fam.	Annea altucuspis	164.601	50.452	19.521	39.8664	40.0099	26.4498	41.8265	39.6436	40.3188	1.8166	1146.821
Orectolobiformes incert. fam.	Annea carinata	169.3	51.164	10.448	32.1384	38.6445	18.9315	41.0561	31.932	38.0803	2.9758	1163.654
