A	B	C	D	E	F	G
1	0.0625	0.001	0.001	0.001	0.0625	0.03125
0.0625	1	0.0625	0.03125	0.015625	0.001	0.001
0.001	0.0625	1	0.5	0.25	0.125	0.0625
0.001	0.03125	0.5	1	0.125	0.0625	0.03125
0.001	0.015625	0.25	0.125	1	0.5	0.25
0.0625	0.001	0.125	0.0625	0.5	1	0.5
0.03125	0.001	0.0625	0.03125	0.25	0.5	1

A	B	C	D	E	F	G
1	0.0625	0.001	0.001	0.001	0.0625	0.03125
0.0625	1	0.0625	0.03125	0.015625	0.001	0.001
0.001	0.0625	1	0.5	0.25	0.125	0.0625
0.001	0.03125	0.5	1	0.125	0.0625	0.03125
0.001	0.015625	0.25	0.125	1	0.5	0.25
0.0625	0.001	0.125	0.0625	0.5	1	0.5
0.03125	0.001	0.0625	0.03125	0.25	0.5	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.03125	0.015625	0.001	0.0625	0.03125
0.5	1	0.0625	0.03125	0.015625	0.03125	0.015625
0.03125	0.0625	1	0.5	0.25	0.125	0.0625
0.015625	0.03125	0.5	1	0.125	0.0625	0.03125
0.001	0.015625	0.25	0.125	1	0.5	0.25
0.0625	0.03125	0.125	0.0625	0.5	1	0.5
0.03125	0.015625	0.0625	0.03125	0.25	0.5	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.03125	0.015625	0.001	0.0625	0.001
0.5	1	0.0625	0.03125	0.015625	0.03125	0.001
0.03125	0.0625	1	0.5	0.25	0.125	0.001
0.015625	0.03125	0.5	1	0.5	0.25	0.001
0.001	0.015625	0.25	0.5	1	0.5	0.001
0.0625	0.03125	0.125	0.25	0.5	1	0.001
0.001	0.001	0.001	0.001	0.001	0.001	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.25	0.125	0.25	0.5	0.25
0.5	1	0.5	0.25	0.25	0.25	0.25
0.25	0.5	1	0.5	0.5	0.25	0.125
0.125	0.25	0.5	1	0.5	0.25	0.0625
0.25	0.25	0.5	0.5	1	0.5	0.0625
0.5	0.25	0.25	0.25	0.5	1	0.03125
0.25	0.25	0.125	0.0625	0.0625	0.03125	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.25	0.25	0.125	0.5	0.25
0.5	1	0.5	0.25	0.25	0.25	0.25
0.25	0.5	1	0.5	0.5	0.25	0.125
0.25	0.25	0.5	1	0.5	0.5	0.0625
0.125	0.25	0.5	0.5	1	0.25	0.0625
0.5	0.25	0.25	0.5	0.25	1	0.03125
0.25	0.25	0.125	0.0625	0.0625	0.03125	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.5	0.25	0.125	0.5	0.0625	0.25
0.5	1	0.5	0.25	0.25	0.125	0.125
0.25	0.5	1	0.5	0.25	0.25	0.125
0.125	0.25	0.5	1	0.5	0.5	0.25
0.5	0.25	0.25	0.5	1	0.25	0.5
0.0625	0.125	0.25	0.5	0.25	1	0.125
0.25	0.125	0.125	0.25	0.5	0.125	1
 	 	 	 	 	 	 
A	B	C	D	E	F	G
1	0.001	0.001	0.5	0.25	0.5	0.5
0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.001	0.001	0.001	0.001	0.001	0.001	0.001
0.5	0.001	0.001	1	0.5	0.5	0.5
0.25	0.001	0.001	0.5	1	0.25	0.5
0.5	0.001	0.001	0.5	0.25	1	0.25
0.5	0.001	0.001	0.5	0.5	0.25	1
 	 	 	 	 	 	 
END	 	 	 	 	 	 
