Species	Status	MinT	MaxT
Acanthoscyllium	extinct	83.601	85.8
Adnetoscyllium	extinct	80.601	83.6
Adnetoscyllium	extinct	80.601	83.6
Adnetoscyllium	extinct	80.601	83.6
Adnetoscyllium	extinct	80.601	83.6
Adnetoscyllium	extinct	80.601	83.6
Adnetoscyllium	extinct	80.601	83.6
Adnetoscyllium	extinct	83.601	85.8
Adnetoscyllium	extinct	83.601	85.8
Adnetoscyllium	extinct	83.601	86.3
Adnetoscyllium	extinct	96.201	100.5
Adnetoscyllium	extinct	91.401	92.9
Almascyllium	extinct	83.601	85.8
Almascyllium	extinct	96.201	100.5
Annea	extinct	157.301	163.1
Annea	extinct	163.101	166.1
Annea	extinct	163.101	166.1
Annea	extinct	168.301	170.3
Annea	extinct	170.301	174.2
Annea	extinct	174.201	183.7
Annea	extinct	174.201	183.7
Annea	extinct	163.101	166.1
Annea	extinct	96.201	100.5
Annea	extinct	100.501	110.2
Annea	extinct	113.001	126.3
Brachaelurid	extinct	126.301	130.8
Brachaelurid	extinct	134.701	139.4
Brachaelurus	extant	33.901	38
Brachaelurus	extant	3.601	15.97
Cantioscyllium	extinct	126.301	130.8
Cantioscyllium	extinct	72.101	76.4
Cantioscyllium	extinct	83.601	86.3
Cantioscyllium	extinct	86.301	89.8
Cantioscyllium	extinct	96.201	100.5
Cantioscyllium	extinct	72.101	83.6
Cantioscyllium	extinct	89.801	100.5
Cantioscyllium	extinct	93.901	100.5
Cantioscyllium	extinct	93.901	100.5
Cantioscyllium	extinct	93.901	100.5
Cantioscyllium	extinct	96.201	100.5
Cantioscyllium	extinct	96.201	100.5
Cantioscyllium	extinct	96.201	100.5
Cantioscyllium	extinct	96.201	100.5
Cantioscyllium	extinct	96.201	100.5
Cantioscyllium	extinct	86.301	89.8
Cantioscyllium	extinct	86.301	89.8
Cantioscyllium	extinct	89.801	91.4
Cantioscyllium	extinct	91.401	92.9
Cantioscyllium	extinct	91.401	92.9
Cantioscyllium	extinct	91.401	92.9
Cantioscyllium	extinct	89.801	93.9
