Species	Status	MinT	MaxT
Acanthoscyllium_sahelalmae	 extinct	83.601	85.8
Adnetoscyllium_angloparisensis	 extinct	80.601	83.6
Adnetoscyllium_angloparisensis	 extinct	80.601	83.6
Adnetoscyllium_angloparisensis	 extinct	80.601	83.6
Adnetoscyllium_angloparisensis	 extinct	80.601	83.6
Adnetoscyllium_angloparisensis	 extinct	80.601	83.6
Adnetoscyllium_angloparisensis	 extinct	80.601	83.6
Adnetoscyllium_angloparisensis	 extinct	83.601	85.8
Adnetoscyllium_angloparisensis	 extinct	83.601	85.8
Adnetoscyllium_angloparisensis	 extinct	83.601	86.3
Almascyllium_cheikheliasi	 extinct	83.601	85.8
Annea_altucuspis	 extinct	157.301	163.1
Annea_altucuspis	 extinct	163.101	166.1
Annea_altucuspis	 extinct	163.101	166.1
Annea_carinata	 extinct	168.301	170.3
Annea_carinata	 extinct	170.301	174.2
Annea_maubeugei	 extinct	174.201	183.7
Annea_maubeugei	 extinct	174.201	183.7
Annea_myriacuspis	 extinct	163.101	166.1
Brachaelurid (gen. nov.) roklumensis	 extinct	126.301	130.8
Cantioscyllium_alhaulfi	 extinct	126.301	130.8
Cantioscyllium_bighornensis	 extinct	72.101	76.4
Cantioscyllium_bighornensis	 extinct	83.601	86.3
Cantioscyllium_bighornensis	 extinct	86.301	89.8
Cantioscyllium_brachyplicatum	 extinct	96.201	100.5
Cantioscyllium_clementsi	 extinct	72.101	83.6
Cantioscyllium_decipiens	 extinct	89.801	100.5
Cantioscyllium_decipiens	 extinct	93.901	100.5
Cantioscyllium_decipiens	 extinct	93.901	100.5
Cantioscyllium_decipiens	 extinct	93.901	100.5
Cantioscyllium_decipiens	 extinct	96.201	100.5
Cantioscyllium_decipiens	 extinct	96.201	100.5
Cantioscyllium_decipiens	 extinct	96.201	100.5
Cantioscyllium_decipiens	 extinct	96.201	100.5
Cantioscyllium_decipiens	 extinct	96.201	100.5
Cantioscyllium_decipiens	 extinct	86.301	89.8
Cantioscyllium_decipiens	 extinct	86.301	89.8
Cantioscyllium_decipiens	 extinct	89.801	91.4
Cantioscyllium_decipiens	 extinct	91.401	92.9
Cantioscyllium_decipiens	 extinct	91.401	92.9
Cantioscyllium_decipiens	 extinct	91.401	92.9
Cantioscyllium_decipiens	 extinct	89.801	93.9
Cantioscyllium_decipiens	 extinct	93.901	95.5
Cantioscyllium_decipiens	 extinct	93.901	95.5
Cantioscyllium_decipiens	 extinct	93.901	95.5
Cantioscyllium_estesi	 extinct	66.001	70.1
Cantioscyllium_estesi	 extinct	66.001	70.6
