Species	Status
Acanthoscyllium_sahelalmae	extinct
Adnetoscyllium_angloparisensis	extinct
Almascyllium_cheikheliasi	extinct
Annea_altucuspis	extinct
Annea_carinata	extinct
Annea_maubeugei	extinct
Annea_myriacuspis	extinct
Brachaelurid_(gen._nov.)_roklumensis	extinct
Cantioscyllium_alhaulfi	extinct
Cantioscyllium_bighornensis	extinct
Cantioscyllium_brachyplicatum	extinct
Cantioscyllium_clementsi	extinct
Cantioscyllium_decipiens	extinct
Cantioscyllium_estesi	extinct
Cantioscyllium_hashimiaensis	extinct
Cantioscyllium_lobatum	extinct
Cantioscyllium_markaguntensis	extinct
Cantioscyllium_meyeri	extinct
Cantioscyllium_nessovi	extinct
Cederstroemia_havreensis	extinct
Cederstroemia_nilsi	extinct
Cederstroemia_siverssoni	extinct
Cederstroemia_triangulata	extinct
Cederstroemia_ziaensis	extinct
Chiloscyllium_broennimanni	extinct
Chiloscyllium_frequens	extinct
Chiloscyllium_gaemersi	extinct
Chiloscyllium_grandis	extinct
Chiloscyllium_greeni	extinct
Chiloscyllium_humboldti	extinct
Chiloscyllium_meraense	extinct
Chiloscyllium_mereretiae	extinct
Chiloscyllium_minutum	extinct
Chiloscyllium_missouriense	extinct
Chiloscyllium_salvani	extinct
Chiloscyllium_vulloi	extinct
Coelometlaouia_pannucea	extinct
Cretorectolobus_doylei	extinct
Cretorectolobus_gracilis	extinct
Cretorectolobus_olsoni	extinct
Cretorectolobus_robustus	extinct
Delpitoscyllium_africanum	extinct
Delpitoscyllium_planum	extinct
Dorsetoscyllium_terraefullonicum	extinct
Eometlaouia_delpiti	extinct
Eometlaouia_numidica	extinct
Eostegostoma_angustum	extinct
Eostegostoma_templeuvensis	extinct
Folipistrix_digitulus	extinct
Ganntouria_variabilis	extinct
Garrigascyllium_aganticensis	extinct
Ginglymostoma_angolense	extinct
Ginglymostoma_botmaense	extinct
Ginglymostoma_chenanei	extinct
Ginglymostoma_cirratum	extant
Ginglymostoma_cuspidata	extinct
Ginglymostoma_dartevellei	extinct
Ginglymostoma_delfortriei	extinct
Ginglymostoma_erramii	extinct
Ginglymostoma_khouribgaense	extinct
Ginglymostoma_maghrebianum	extinct
Ginglymostoma_maroccanum	extinct
Ginglymostoma_pectinatum	extinct
Ginglymostoma_serra	extinct
Ginglymostoma_sokotoense	extinct
Ginglymostoma_subafricanum	extinct
Hemiscyllium_bruxelliensis	extinct
Hemiscyllium_hermani	extinct
Hemiscyllium_tailledisensis	extinct
Heterophorcynus_microdon	extinct
Hologinglymostoma_jaegeri	extinct
Magistrauia_unicaplicata	extinct
Mesiteia_emiliae	extinct
Nebrius_bequaerti	extinct
Nebrius_obliquus	extinct
Nebrius_thielensi	extinct
Notoramphoscyllium_woodwardi	extinct
Orecto_gen._nov.1_standhardtae	extinct
Orecto_gen._nov.2_muftius	extinct
Orectoloboides_angulatus	extinct
Orectoloboides_multistriatus	extinct
Orectoloboides_parvulus	extinct
Orectoloboides_reyndersi	extinct
Orectolobus_gippslandicus	extinct
Orectolobus_ziegenhinei	extinct
Ornatoscyllium_freemani	extinct
Ornatoscyllium_glashoffi	extinct
Ornatoscyllium_pattersoni	extinct
Ornatoscyllium_rugasimulatum	extinct
Palaeobrachaelurus_alisonae	extinct
Palaeobrachaelurus_aperizostus	extinct
Palaeobrachaelurus_bedfordensis	extinct
Palaeobrachaelurus_mitchelli	extinct
Palaeobrachaelurus_mussetti	extinct
Palaeocarcharias_stromeri	extinct
Palaeorectolobus_agomphius	extinct
Palaeorhincodon_daouii	extinct
Palaeorhincodon_dartevellei	extinct
Palaeorhincodon_wardi	extinct
Paraginglymostoma_bloti	extinct
Parahemiscyllium_underwoodwardi	extinct
Pararhincodon_crochardi	extinct
Pararhincodon_germaini	extinct
Pararhincodon_groessensi	extinct
Pararhincodon_lehmani	extinct
Pararhincodon_ornatus	extinct
Pararhincodon_ypresiensis	extinct
Phorcynis_catulina	extinct
Plicatoscyllium_antiquum	extinct
Plicatoscyllium_derameei	extinct
Plicatoscyllium_gharbii	extinct
Plicatoscyllium_globidens	extinct
Plicatoscyllium_lehneri	extinct
Plicatoscyllium_minutum	extinct
Plicatoscyllium_youssoufiaense	extinct
Protoginglymostoma_ypresiensis	extinct
Pseudoginglymostoma_erguitaense	extinct
Pseudoginglymostoma_idiri	extinct
Pseudospinax_heterodon	extinct
Pseudospinax_pusillus	extinct
Restesia_americana	extinct
Restesia_nordquistae	extinct
Rhincodon_ferriolensis	extinct
Rhincodon_typus	extant
Squatiscyllium_casieri	extinct
Squatiscyllium_nigeriensis	extinct
Stegostoma_tethysiensis	extinct
