Family	Genus	Species	latitude	longitude
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.1957816405	153.5782241821
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.1037375762	153.4787320285
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-27.4208811526	153.5292849278
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.38	153.67
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.6116013387	153.6279784922
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0683641407	151.1623513263
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.4312746475	152.5354413985
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71444762	152.1516323
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0597767943	151.1593093851
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800618	151.293754
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.4946731759	150.9212493896
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.800618	151.293754
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.5966617561	150.9035360813
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.5932261731	150.8942985535
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-30.017413	153.270749
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8005839845	151.2942373753
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.71444762	152.1516323
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.416725	151.463048
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7997596743	151.2930808069
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0602600532	151.1596451995
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.713754	152.152262
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.798358	151.297644
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7984312512	151.2976191045
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7997390199	151.2968702319
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7989216111	151.2967500688
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.717466	152.141441
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7144499	152.1516404
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-29.6089769456	153.3394488715
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.444795	151.449692
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.059484	151.15925
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8005949059	151.2966556552
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.05965	151.159416
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0598237142	151.160330767
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.798591733	151.2967500688
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.0655122274	151.1577625442
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7174716066	152.1408176422
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712826776	152.1509271772
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7121835299	152.1544584202
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.9039527063	151.8020724433
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.9015292847	151.8043263018
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7136279309	152.1520980527
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7090781482	152.1578057937
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7147044	152.1512705
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7087892673	152.1584924392
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.712425229	152.1518663097
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.7985750756	151.2965431155
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7140183497	152.1512705
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7107391951	152.131284111
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7042905809	152.1245966783
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.7141011733	152.1508901618
