Order	Family	Genus	Species	Reported as	Earliest Age	Latest Age	Stratigraphic age	Country	Paleobiogeography_all	Paleobiogeography	Latitude	Longitude	References
Orectolobiformes	Hemiscylliidae	Acanthoscyllium	Acanthoscyllium sahelalmae		85.8	83.601	Santonian (Upper)	Lebanon	Tethys	Tethys	33.9941111	35.6562772	Pictet & Humbert (1966a)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium angloparisensis		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.7901659	3.6401555	Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium angloparisensis		83.6	80.601	Campanian (Lower)	France	Tethys	Tethys	49.5077248	4.080573081	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium angloparisensis		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	50.8820539	-1.3439233	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium angloparisensis		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	51.4892589	-2.5042581	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium angloparisensis		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	51.4892589	-2.5042581	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium angloparisensis		83.6	80.601	Campanian (Lower)	United Kingdom	Tethys	Tethys	51.4469993	-1.3452049	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium angloparisensis		85.8	83.601	Santonian (Upper)	France	Tethys	Tethys	49.7965307	3.5083744	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium angloparisensis		85.8	83.601	Santonian (Upper)	United Kingdom	Tethys	Tethys	51.4469993	-1.3452049	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium angloparisensis		86.3	83.601	Santonian	United Kingdom	Tethys	Tethys	52.029187	0.8598002	Underwood & Ward (2008); Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium sp.		100.5	96.201	Cenomanian (Lower)	United Kingdom	Tethys	Tethys	52.1277434	0.0371088	Guinot et al. (2012a-b; 2013)
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium sp.		92.9	91.401	Turonian (Middle)	France	Tethys	Tethys	49.59698	4.32453	Guinot et al. (2012a-b, 2013)
Orectolobiformes	Hemiscylliidae	Almascyllium	Almascyllium cheikheliasi		85.8	83.601	Santonian (Upper)	Lebanon	Tethys	Tethys	33.9941111	35.6562772	Signeux (1950); Cappetta (1980a)
Orectolobiformes	Hemiscylliidae	Almascyllium	Almascyllium sp.		100.5	96.201	Cenomanian (Lower)	France	Tethys	Tethys	45.9359026	-0.6900244	Vullo et al. (2007)
Orectolobiformes	Orectolobiformes incert. fam.	Annea	Annea altucuspis		163.1	157.301	Oxfordian	Poland	Tethys	Tethys	50.4521463	19.5213629	Rees (2010)
Orectolobiformes	Orectolobiformes incert. fam.	Annea	Annea altucuspis	Orectolobiformes inc. fam., gen. et sp.	166.1	163.101	Callovian	Germany	Tethys	Tethys	51.9072783	10.5215545	Thies (1989)
Orectolobiformes	Orectolobiformes incert. fam.	Annea	Annea altucuspis		166.1	163.101	Callovian	Poland	Tethys	Tethys	50.4521463	19.5213629	Rees (2010)
Orectolobiformes	Orectolobiformes incert. fam.	Annea	Annea carinata		170.3	168.301	Bajocian	Germany	Tethys	Tethys	51.1638175	10.4478313	Thies (1993b)
Orectolobiformes	Orectolobiformes incert. fam.	Annea	Annea carinata		174.2	170.301	Aalenian	Germany	Tethys	Tethys	52.2370319	9.873799	Thies (1983)
Orectolobiformes	Orectolobiformes incert. fam.	Annea	Annea maubeugei		183.7	174.201	Toarcian	Belgium	Tethys	Tethys	49.5590364	5.7422467	Delsate & Thies (1995), Delsate & Felten (2015)
Orectolobiformes	Orectolobiformes incert. fam.	Annea	Annea maubeugei		183.7	174.201	Toarcian	Luxembourg	Tethys	Tethys	49.4786477	6.0847792	Delsate & Weis (2010)
