Order	Family	Genus	Species
Orectolobiformes	Hemiscylliidae	Acanthoscyllium	Acanthoscyllium_sahelalmae
Orectolobiformes	Hemiscylliidae	Adnetoscyllium	Adnetoscyllium_angloparisensis
Orectolobiformes	Hemiscylliidae	Almascyllium	Almascyllium_cheikheliasi
Orectolobiformes	Orectolobiformes_incert._fam.	Annea	Annea_altucuspis
Orectolobiformes	Orectolobiformes_incert._fam.	Annea	Annea_carinata
Orectolobiformes	Orectolobiformes_incert._fam.	Annea	Annea_maubeugei
Orectolobiformes	Orectolobiformes_incert._fam.	Annea	Annea_myriacuspis
Orectolobiformes	Brachaeluridae	Brachaelurid_(gen._nov.)	Brachaelurid_(gen._nov.)_roklumensis
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_alhaulfi
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_bighornensis
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_brachyplicatum
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_clementsi
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_decipiens
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_estesi
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_hashimiaensis
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_lobatum
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_markaguntensis
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_meyeri
Orectolobiformes	Ginglymostomatidae	Cantioscyllium	Cantioscyllium_nessovi
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia_havreensis
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia_nilsi
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia_siverssoni
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia_triangulata
Orectolobiformes	Orectolobidae	Cederstroemia	Cederstroemia_ziaensis
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_broennimanni
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_frequens
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_gaemersi
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_grandis
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_greeni
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_humboldti
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_meraense
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_mereretiae
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_minutum
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_missouriense
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_salvani
Orectolobiformes	Hemiscylliidae	Chiloscyllium	Chiloscyllium_vulloi
Orectolobiformes	Hemiscylliidae	Coelometlaouia	Coelometlaouia_pannucea
Orectolobiformes	Orectolobidae	Cretorectolobus	Cretorectolobus_doylei
Orectolobiformes	Orectolobidae	Cretorectolobus	Cretorectolobus_gracilis
Orectolobiformes	Orectolobidae	Cretorectolobus	Cretorectolobus_olsoni
Orectolobiformes	Orectolobidae	Cretorectolobus	Cretorectolobus_robustus
Orectolobiformes	Ginglymostomatidae	Delpitoscyllium	Delpitoscyllium_africanum
Orectolobiformes	Ginglymostomatidae	Delpitoscyllium	Delpitoscyllium_planum
Orectolobiformes	Orectolobiformes_incert._fam.	Dorsetoscyllium	Dorsetoscyllium_terraefullonicum
Orectolobiformes	Orectolobidae	Eometlaouia	Eometlaouia_delpiti
Orectolobiformes	Orectolobidae	Eometlaouia	Eometlaouia_numidica
Orectolobiformes	Brachaeluridae	Eostegostoma	Eostegostoma_angustum
Orectolobiformes	Brachaeluridae	Eostegostoma	Eostegostoma_templeuvensis
Orectolobiformes	Orectolobiformes_incert._fam.	Folipistrix	Folipistrix_digitulus
Orectolobiformes	Ginglymostomatidae	Ganntouria	Ganntouria_variabilis
Orectolobiformes	Orectolobiformes_incert._fam.	Garrigascyllium	Garrigascyllium_aganticensis
Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma_angolense
Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma_botmaense
Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma_chenanei
Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma_cirratum
Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma_cuspidata
Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma_dartevellei
Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma_delfortriei
Orectolobiformes	Ginglymostomatidae	Ginglymostoma	Ginglymostoma_erramii
