Family	Genus	Species	Latitude	Longitude	References
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-27.25	153.25	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.38	153.67	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-27.420881	153.529285	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.103738	153.478732	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.195782	153.578224	Inaturalist
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-22.51683	153.00117	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-22.51683	153.00117	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-27.971	153.54033	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.55333	153.74167	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.55333	153.74167	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.55333	153.74167	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.55333	153.74167	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-22.673	152.73	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-28.55	153.66667	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-26.88233	153.53633	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-22.27617	153.02217	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-22.67417	152.727	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus colcloughi	-26.79733	153.233	ANFC
Brachaeluridae	Brachaelurus	Brachaelurus waddi	8	93.5	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-19.25	119.24167	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-19.25	119.24167	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-19.591665	120.041664	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-19.591665	120.041664	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	9.108333	122.923333	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-11.55833	133.23334	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-11.55833	133.23334	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.87	150.75	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34.98	150.77	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-35	150.8	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-35.1	150.8	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33	151	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33	151	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33	151	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33	151	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.95	151.1	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34	151.1	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34	151.1	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34	151.1	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.95	151.13	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.95	151.13	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.6	151.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8	151.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.8	151.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.9	151.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34	151.2	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-34	151.23	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.13	151.25	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.17	151.25	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.18	151.25	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.18	151.25	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.37	151.25	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-33.85	151.25	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.05	151.27	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.05	151.27	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.05	151.27	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.15	151.27	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.15	151.27	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.15	151.27	FishBase
Brachaeluridae	Brachaelurus	Brachaelurus waddi	-32.15	151.27	FishBase
