it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	lambda_13	lambda_14	lambda_15	lambda_16	lambda_17	lambda_18	lambda_19	lambda_20	lambda_21	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	mu_13	mu_14	mu_15	mu_16	mu_17	mu_18	mu_19	mu_20	mu_21	tot_length	Acanthoscyllium_TS	Adnetoscyllium_TS	Almascyllium_TS	Annea_TS	Brachaelurid_TS	Brachaelurus_TS	Cantioscyllium_TS	Cederstroemia_TS	Chiloscyllium_TS	Coelometlaouia_TS	Cretorectolobus_TS	Delpitoscyllium_TS	Dorsetoscyllium_TS	Eometlaouia_TS	Eostegostoma_TS	Folipistrix_TS	Ganntouria_TS	Garrigascyllium_TS	Ginglymostoma_TS	Hemiscyllium_TS	Heterophorcynus_TS	Hologinglymostoma_TS	Magistrauia_TS	Mesiteia_TS	Nebrius_TS	Notoramphoscyllium_TS	Orecto_TS	Orectolobiformes_TS	Orectoloboides_TS	Orectolobus_TS	Ornatoscyllium_TS	Palaeobrachaelurus_TS	Palaeocarcharias_TS	Palaeorectolobus_TS	Palaeorhincodon_TS	Paraginglymostoma_TS	Parahemiscyllium_TS	Pararhincodon_TS	Parascyllium_TS	Phorcynis_TS	Plicatoscyllium_TS	Protoginglymostoma_TS	Pseudoginglymostoma_TS	Pseudospinax_TS	Restesia_TS	Rhincodon_TS	Squatiscyllium_TS	Stegostoma_TS	Acanthoscyllium_TE	Adnetoscyllium_TE	Almascyllium_TE	Annea_TE	Brachaelurid_TE	Brachaelurus_TE	Cantioscyllium_TE	Cederstroemia_TE	Chiloscyllium_TE	Coelometlaouia_TE	Cretorectolobus_TE	Delpitoscyllium_TE	Dorsetoscyllium_TE	Eometlaouia_TE	Eostegostoma_TE	Folipistrix_TE	Ganntouria_TE	Garrigascyllium_TE	Ginglymostoma_TE	Hemiscyllium_TE	Heterophorcynus_TE	Hologinglymostoma_TE	Magistrauia_TE	Mesiteia_TE	Nebrius_TE	Notoramphoscyllium_TE	Orecto_TE	Orectolobiformes_TE	Orectoloboides_TE	Orectolobus_TE	Ornatoscyllium_TE	Palaeobrachaelurus_TE	Palaeocarcharias_TE	Palaeorectolobus_TE	Palaeorhincodon_TE	Paraginglymostoma_TE	Parahemiscyllium_TE	Pararhincodon_TE	Parascyllium_TE	Phorcynis_TE	Plicatoscyllium_TE	Protoginglymostoma_TE	Pseudoginglymostoma_TE	Pseudospinax_TE	Restesia_TE	Rhincodon_TE	Squatiscyllium_TE	Stegostoma_TE
0	-4273.990461102313	-247.03960028467748	-2923.2681692339593	-1103.6826915836764	0.5957234102881599	0.5957234102881599	0.5957234102881599	0.5957234102881599	1.0	189.12066431636825	0.0	1.1	1.1	0.10789993802522044	0.12544621124528127	0.1610021507170176	0.5608487191231242	0.2607866830680047	0.2898360657447734	0.17838639861708008	0.13735666979950442	0.38051126636799715	0.32044756051726986	0.18353122035602143	0.121567671763151	0.38325988607034145	0.21456238746549128	0.6248309680573328	0.18231858406938103	0.2777110492541778	0.23057939447338843	0.3046916063883363	0.15440082860879278	0.35076831459290847	0.36687377259289733	0.3596736885210615	0.28453139794996724	0.3365840560715133	0.7616808972237088	0.1805616927857223	0.2288790271137625	0.1298168601633543	0.49698866000583075	0.1586654549947611	0.14229589305455081	0.140463890036654	0.19994600655619188	0.33645397751703393	0.2036294612154965	0.172888403880229	0.18878086263528704	0.20330607792787117	0.851825613317208	0.12217601330672595	0.35878038404184354	0.11600775541232186	0.4414951919435187	1838.268595782844	84.95863510689917	99.32839797678827	110.32040038012849	186.834327492663	139.8648805328935	49.24694649827371	153.80216792424815	112.82637943036471	123.45752353965443	53.228302402249845	135.2365494527848	65.1793726753079	168.2760801926307	63.38979009104018	68.92121493564964	183.56162245310526	69.66566294597968	138.32814924662375	89.73966506253022	77.50676152663362	166.5349441530681	59.341516987320965	137.57884524929239	98.97884581091628	67.66603052343633	61.47828812548248	169.17230184553992	154.2857589352759	119.3524965053515	49.60633324913075	184.25837042693112	189.12066431636825	155.5657356004993	149.19698642696642	58.22640240948342	69.17745397405855	139.00273798683946	107.46954937556863	53.98695282554133	162.83942085369034	79.88142728931912	56.725406092076575	72.23273482649309	164.67734199154117	77.61208616805426	27.431426942621666	60.41602779091695	40.951625567279265	84.83220436306495	79.86647836230705	51.77998866535458	91.44454038447107	123.52759381373332	0.0	65.8195098563776	71.95005512579762	0.0	35.1345273101862	60.86701394686196	54.370441327898064	167.89552085287497	49.86362305851588	29.964953842282608	161.8008469639735	67.99053480823781	138.09592074402318	0.0	0.0	166.12232096187427	56.08592701465782	137.194720412151	98.82467599545146	0.0	31.942839929989418	27.68596100777725	154.07072066586764	6.1733211439030065	0.0	118.46824499233034	121.30759461330013	140.13077629175552	149.14631751144472	38.61304673822735	68.85474149446542	138.63063174620405	34.46239849371437	0.0	142.41173181751117	65.96205799823906	38.43896293020117	0.0	90.50761671713639	65.88906522972346	0.0	42.04451920078319	0.0
20000	-3498.9650869678353	-245.47137068642195	-2847.57552284335	-405.91819343806355	0.22278104548977085	0.17749460878576714	0.8835903600033775	0.3272499081001385	1.0961766149957999	184.62903442445247	0.0	6.002831549606792	3.6890430790615127	0.06764502324411627	0.03597935504876935	0.07982106493165081	0.036253317971325104	0.08791788529419033	0.10208031903522907	0.06175189524002301	0.01080176009089193	0.08097227375394828	0.07791146599259112	0.0495831434841992	0.04891229757480244	0.035532914728339825	0.029133493935325244	0.01626071543866054	0.012736444117632854	0.020344624218655263	0.004357811123017098	0.004693690228151661	0.01654318201328991	0.02001982707324054	0.041892212299734534	0.023460922948934256	0.009894287295587681	0.1558139625190565	0.010978444723837527	0.001419892663467649	0.02833268708528229	0.014764194424989534	0.07437350693572066	0.025629325211489563	0.05372636033892011	0.0036739849226801913	0.010419908281241898	0.007423318912136881	0.030374204779793742	0.01962007991642413	0.09370402438471756	0.047613277041414	0.012162434752950115	0.020601767714554832	0.05159014724864563	0.010633263182454174	0.00767217374194159	1870.4993340523524	85.92446727056738	99.26305081556885	101.51830166896215	184.2078345616902	147.03116501096918	40.50438604891514	156.19370879299763	114.57717591185896	129.6026028743616	52.90923138504241	140.58858723406414	64.82015615834653	171.0078387878117	64.15478800942041	66.1769198843669	182.23503747965913	69.48235685526929	138.9144393936374	88.21310576612278	78.01117454890672	169.04198488098476	59.354950158184344	141.02365574500124	99.29783554837547	66.52246784788008	52.5380809466819	172.61891318334202	155.09917770943773	121.95611563024107	48.717599612972606	183.4629527777088	184.62903442445247	156.5978004582312	150.73558224242777	57.16602982423607	69.29436405240922	143.90734904920112	105.89726508665876	51.48274031983754	161.504435173146	79.73870986312959	56.068528054561185	79.54092359120732	169.5542835216457	76.63167221546412	29.00027209859497	59.72977610927425	42.96825815966221	84.87478319617787	81.51114213375998	43.165860609519584	96.5455979357457	123.94237679179408	0.0	64.44772847939099	72.69436259874035	0.0	34.53888394483035	65.33663840475111	54.32763187699556	166.52954644547475	40.96492270667416	28.90403886532074	161.69658512739636	68.08588624990517	130.4784217573004	0.0	0.0	166.06539093463607	52.699428979086804	135.90485364960566	98.81957224780716	0.0	28.643422279049382	30.05518426436293	154.09465040621515	14.041833150342216	0.0	109.69934513350947	122.77976598403663	138.4079564417429	147.30912992084262	37.13143721693596	66.68119145530893	134.17233656557215	34.16491255094567	0.0	147.5100606682016	65.6598613486894	44.8876032226922	0.0	95.89807406680666	65.02373798870859	0.0	41.2235970922604	0.0
40000	-3490.160596949836	-247.06650410054223	-2847.3681348892037	-395.72595796009	0.30485788940465236	0.13699001539734912	0.9931374276369921	0.3849710529576649	0.9818552227584062	187.51844929714485	0.0	8.155975552315969	9.636730551260369	0.06030318116861407	0.009695256220252168	0.038854327266555834	0.009548867821956873	0.07036556025569116	0.008716697118575268	0.08701085837658097	0.010348701213748328	0.13504432371911856	0.0009874513997540626	0.06464411355967695	0.015095119515343102	0.01588361854420626	0.0017375329456572404	0.019852638363931894	0.05590729747689856	0.04297198107659111	0.013429402875058642	0.011256681628233463	0.0008264177613040157	0.001295304035592441	0.004057842285657657	0.00946488166889485	0.019777778106703496	0.10181118908494216	0.01577816636045167	0.012247702652027173	0.09406205867919774	0.011436893990546627	0.03129381588492956	0.12482889007154886	0.016479594752524376	0.0005870485185681258	0.06275923808570091	0.009049606601174967	0.021349645723834864	0.02772002059222709	0.03999784055518246	0.06292505997650108	0.040586550740060526	0.11943976406441148	0.08636346897100519	0.0062389284150762316	0.02363489834763804	1885.3141732142462	85.30491025463493	101.39474959129866	99.57279145458058	187.14382729017805	146.56855295792698	34.852871998464664	153.51744305882386	114.43906523805767	137.47496263687984	57.87093062265931	148.8189870584236	66.07170912858027	169.5002841759498	59.522077002961495	66.71856450312643	183.41551027908508	69.98378428093419	138.24059945017484	88.25510942419616	76.48671510517013	167.18283769350415	59.260460158552384	138.11113428358166	98.84868017554122	66.88053118580088	56.21011729013929	174.19174049099342	157.03759535098803	116.76483876646901	47.958237736890325	184.4485684133664	187.51844929714485	159.42628502438072	155.27709036213895	56.49133137055802	69.6143872303518	139.04458277839473	110.47622526580939	50.27672041379872	159.14354877041296	79.98238577366679	55.93991726491247	76.7670181111512	164.4954450471535	76.61426331136096	27.65231530199855	59.4247750064079	41.533754294725654	84.0773865644698	80.97509924838103	39.93632615159693	96.57477910451466	124.72866737203725	0.0	66.21040258374691	72.64884933142942	0.0	36.32842507092429	63.342129817024436	51.01371327925962	167.68673622498952	33.88123780845214	29.612226392178993	163.1479428035781	67.07022444583097	136.7144596601179	0.0	0.0	162.38682223506706	50.8777201432524	134.09848555544602	98.60207657942213	0.0	36.16491875672498	25.33170127147162	152.27132405503983	17.568590708529705	0.0	108.88524258644262	111.68424469168183	139.57403176429713	147.06994358310357	38.85120407806054	68.40988886239116	138.5981409695808	33.07876837702052	0.0	146.58738050025414	66.12771845827369	39.94982985867912	0.0	96.55073584315811	66.3845212823551	0.0	43.410612449270296	0.0
60000	-3495.7545059759004	-245.92864097389298	-2848.2475975120815	-401.578267489926	0.2629363507830824	0.20691507627798508	0.9648943763813868	0.318515939005324	0.8399266634091458	184.45757947575262	0.0	3.3067244004015754	5.264553472474343	0.043491547633328256	0.044756482461213484	0.03826542489913993	0.011515300693939086	0.01691318616835816	0.043883001637531296	0.11571286903278409	0.0454925274599419	0.12329187362862619	0.01785685007157344	0.19702710500033485	0.009964364592677877	0.04485349963413973	0.06748309087299725	0.010078824284043844	0.043948694196359515	0.0030407446525528435	0.0006657399796750934	0.013308873049976277	0.00856229519979409	0.0024219999502602474	0.009524656303905714	0.04008440569640718	0.0438747242785619	0.03334438004497502	0.004386753211674002	0.07300298739771441	0.04053229269203842	0.0197871801795296	0.0038030456712176784	0.05118143449539348	0.06212860214832318	0.0022437743089563497	0.023295328775601483	0.012418980216149915	0.02438388904597556	0.058126230339081805	0.031884237590676025	0.0046550854884265394	0.031809821658450414	0.04077184415490333	0.003419191622018005	0.07492507431845678	0.0035318228026645663	1838.6172960874492	85.62725402817267	99.30243660989993	101.21032887354303	184.4460000052175	139.5842444541683	37.068800151600364	153.80753805406692	112.95567746472092	126.56719747488995	55.6542160530279	139.19106358956628	64.89136372306893	168.2836382331026	58.466970062660934	66.69538824489487	184.22701111881338	69.75033418858393	142.8540813978781	88.01442248231614	76.74839680259727	170.64155790239428	59.89008222581373	137.78680162498003	99.45772132068778	66.81499620703585	61.07309412067716	171.44768489753199	154.20198337373267	121.72720551596625	48.471341080042905	184.45757947575262	183.62104560053996	157.001104712518	149.25870146647006	58.09848412229103	71.27342616782907	142.16429244914715	107.1993189312368	48.589196069406924	159.64557369765967	79.83772171405731	55.908256906586644	72.01296866121385	166.54317674239482	78.55092082881627	32.89322624782331	59.050793613001886	42.82096130135604	84.7736796494644	80.73054996470451	36.97438822871651	89.82941069544557	127.97979297612774	0.0	64.4768640110702	69.4230728194108	0.0	38.0962429960409	64.41739169457065	53.167988951152765	166.3252228686659	38.189170356044855	30.771243817215687	173.31881103376594	67.70623993510509	137.5832013207766	0.0	0.0	165.4262369847264	51.66775004333465	137.36867888371458	95.67414900582048	0.0	38.442264973154046	30.35257642283916	154.1584055143446	15.520437614343507	0.0	110.10860007299364	114.36523263471469	140.73264352885445	147.02073414247104	38.04758811937937	67.8849497542421	138.15313930841236	33.47262416347755	0.0	142.84175747305684	66.11043555057306	39.33133392746065	0.0	98.22402498531015	66.21478329850596	0.0	42.28666618229725	0.0
80000	-3510.900805819108	-247.035564672775	-2866.692964739988	-397.1722764063452	0.40132928536495815	0.17037152294923594	0.8917653628676829	0.35278208126422905	0.8404160900556744	187.61320814897314	0.0	2.074673971663482	6.083661050972135	0.05638492697811703	0.01307866102282948	0.015297435120176917	0.027966576747723938	0.10215036814701949	0.03205431110490224	0.07602557172723214	0.007000574140767509	0.08534565186895168	0.035327367849444916	0.06418718337733348	0.0025529703871197337	0.04089154303600255	0.019901973166525318	0.02845586740332735	0.0238708576011076	0.05304598982688272	0.007103588688152967	0.01488041654207566	0.004072147074113433	0.0017609383678240994	0.02365404753451886	0.023886594992003945	0.020567778373846605	0.0654293915978926	0.01608032930004904	0.010154912753725483	0.035837300206537887	0.0046527953162389685	0.009099829590430092	0.1697168850886924	0.010994947215920845	0.004303366472426827	0.021295674041166196	0.02360857170738064	0.028047386412776404	0.05212760661378403	0.06475816059713417	0.06635048614814464	0.011130340911996644	0.031127665501315228	0.011611124863859845	0.014292571345676894	0.0217643288016971	1890.6842978780771	85.73605809805521	100.40121920844282	102.59006158458791	187.61320814897314	146.53137727925935	38.57394445134817	155.10802858165994	114.77967186618001	122.85034511502606	56.07057992537109	139.3571160981419	66.01614225138212	171.9065798460668	58.02983289876115	68.99876628739827	184.21788150482215	71.01527361674371	140.9487730567094	88.05431661927958	77.96036559621929	166.71560090956592	62.04918301884195	142.9881635123902	106.271703351555	66.82183020543354	54.10205259091816	174.0817861854598	166.51966457583248	118.84002257366156	48.348517181760094	183.69101026790514	183.40653030127993	157.58791445398907	150.4749871316639	57.072207735149775	69.4606749000455	140.44488376309673	108.34211907210118	47.888415902432854	158.2555929250384	80.2320620153033	57.506884191295214	78.36783341441547	166.47079836050534	76.4124889620021	32.12139921291872	59.34013166208238	40.64254746029267	84.84634002783271	80.16105871628747	36.071383793705905	90.34797342345782	123.90540897176504	0.0	66.65278003958497	69.05082549495458	0.0	32.97481020555341	64.32685627286908	54.02929823953202	167.41496372508604	49.85254538381349	30.162580202885984	170.35720313029253	68.03779259942235	136.94287843423152	0.0	0.0	164.03453484532085	50.00169111549603	134.11218345088903	95.85689427202969	0.0	31.303669355273012	30.783122948753793	150.87230560347695	21.770105886802874	0.0	104.17870980391167	110.01591190493238	139.60961389040986	148.50383049158546	38.183989573249015	66.73848371419932	138.09290628066162	33.36680624260532	0.0	146.62825636176032	66.02890763053416	41.94448380164649	0.0	97.46720521313148	66.2407691185918	0.0	39.66316982675135	0.0
100000	-3500.221597925522	-246.91317958359954	-2852.0598371720243	-401.248581169898	0.11074410331649875	0.10420730866563309	0.8379493330725152	0.36748203631876847	1.0960166885684677	187.9815439935109	0.0	5.330306424632117	14.385601480499233	0.09346032935346424	0.025205873986122822	0.006912916467276619	0.009788726247034299	0.044614892773354994	0.03089740774521625	0.018975875623070668	0.03578632607685445	0.08561105951347511	0.04793008539520028	0.06176304245157069	0.05113453408488187	0.0407868613022063	0.02414039420963291	0.006995627795321475	0.0007690205160506905	0.0235022163566815	0.015309958712199036	0.018019565447106974	0.033692422313943864	0.01576840349152067	0.021223179399726334	0.03565468435726146	0.017759830496939223	0.051920724224948485	0.051286525260818894	0.00025996757010136054	0.028759878798538537	0.02471644263452716	0.013928936024409075	0.08906966945252615	0.015327982915980325	0.0012517674280811226	0.0372259382736286	0.01706453735310817	0.048967908668458834	0.03521305741720703	0.00590234466465734	0.04227111510021274	0.031123966128910965	0.02362854511491881	0.007164415370858038	0.02854610695831391	0.13428791903791076	1873.4074904744757	85.99307862295558	103.29959734797508	101.94766772468651	187.9815439935109	148.97588258391758	36.96935422204477	160.44114885495247	113.84326988301886	122.40574865518484	55.21481321042232	140.1425679067389	66.13730534718381	167.95748998647906	59.13894820077669	65.99575474834172	182.2381467903357	71.33119143208077	140.78025122092365	88.21265145334182	75.83030353750529	168.7741466468573	59.96963781385135	137.66447761621853	109.45296468004135	66.78303377354786	51.560925990034356	167.00280705229673	162.00798849934878	121.60677931310731	49.28937567702571	185.84692951814705	185.2946214847586	157.25360300999137	157.8633869083734	57.01501405531693	69.54206767494514	146.5867935133624	107.99933819273653	48.68411359451314	158.98039729111923	80.06896008016328	55.81690988220368	81.45054772752343	165.4972764851885	77.74928917912031	27.763013172992547	59.02747502440597	40.88947602930851	84.3600139564471	81.27417426552628	40.76878772563563	95.4509909716259	126.17962672438865	0.0	66.63852607363047	72.79569797967652	0.0	31.04178186681885	66.04146154267607	52.826024459320664	167.11418217337547	48.3328242927902	28.08263786656069	172.7915732714169	68.33482856792882	137.86153033557966	0.0	0.0	164.12478405253674	52.6494593110616	137.36010912603385	95.51164289730383	0.0	25.36824944927276	35.772126930708346	151.61758314554191	21.83092648714766	0.0	118.67001745010207	111.34836246412925	135.20964757412017	129.32550137877604	38.88987126778873	68.94687146545868	136.7627811374101	34.36767659278109	0.0	147.36305683781018	66.05680854519066	43.05536560095035	0.0	97.85998385200428	66.23314220022004	0.0	40.65194529465386	0.0
120000	-3494.8891719339535	-247.86622082264097	-2843.0930594912093	-403.92989162010326	0.2637228243960003	0.15650340442781632	0.9429996829112501	0.3637836014937685	1.1777719462210685	189.25094724334645	0.0	8.097987878438406	14.542177650862778	0.044785100910091906	0.01873699503046635	0.11801857380827971	0.014347298855248814	0.03937814086214635	0.03895844562736802	0.07017067428383461	0.0030846089057719314	0.045937268622492394	0.1013963431465922	0.11013130231599363	0.0468321213482671	0.0038117970887895595	0.021947444157135544	0.019297301655349628	0.054831599563189684	0.0013203344382901941	0.017632067331488213	0.016782042919443456	0.006838069680003416	0.059973588486647376	0.001380549300651457	0.047460467848001155	0.01761628795080361	0.0945896703670532	0.008256981686673926	0.00819482309773423	0.02639129677226412	0.06515184066187289	0.029632634108023196	0.18516461555407532	0.00792025228951784	0.004814533568120894	0.015076014838816784	0.03466536760863078	0.035250617713046245	0.06582599995097045	0.021026681211436825	0.010789418842612168	0.02962210886158299	0.022828772630961856	0.0026119709291538397	0.03770255898514096	0.0067655215859693035	1849.8269935721517	84.90472731951307	109.63977976121136	99.35556719060807	188.2690321822886	141.18651173139335	34.41912204859212	154.08407794177077	115.54554218791468	125.84431300197905	56.10610346382584	134.7015485189106	69.01910999411703	168.04752894905684	59.03502144467934	65.66537747408867	189.25094724334645	69.85851909863129	138.40871442777154	88.32868931794741	76.56836172278148	168.61749319908583	60.565058189984875	137.6723122294755	98.83219952889084	66.7887428085905	56.1480839873859	166.7830240653011	155.01280709885853	136.4490471977826	51.94594036049351	187.57915923772094	183.68107444910942	155.66351754049685	151.12657359417855	56.61375478209309	69.21464364176671	141.2469185627606	106.47140260966691	54.04971037463705	160.99903121042914	80.39603567429931	55.78509437750888	75.71365976221153	165.03531873321836	76.25352949893292	31.615689849141013	58.93459624823954	40.94676997042107	83.08798025474027	80.3559715783705	51.86911817456621	94.21087258251059	126.6511774465003	0.0	66.4900188052255	66.44507515185069	0.0	39.61949143696021	64.62090626937999	50.06967630908081	167.86387818996326	49.23474288172495	30.325588729178545	170.2425431635375	68.28216711060495	136.94779067657313	0.0	0.0	160.4018605082168	49.84165592036798	137.42514726864215	98.75824630532854	0.0	20.93774704180224	44.49139676881291	151.08568850588796	23.241484597862033	0.0	108.86167044005285	110.7524510054891	138.6190785918226	140.51570029565812	36.34153874018483	69.09040432237305	136.87641200221262	33.9114083368109	0.0	147.17200805378172	66.0132646021969	44.855997717591144	0.0	96.92831742258153	64.84648481111788	0.0	41.267828211395674	0.0
140000	-3486.73052478361	-246.65479096812157	-2836.4883694152513	-403.58736440023677	0.23388942742372126	0.12096463640669912	0.8773704618275214	0.3711905527957544	1.0465301747234343	186.02546629198184	0.0	15.02569598962721	8.995746638947736	0.0562761066297569	0.015617194620342764	0.036206846440440206	0.009260461280424157	0.11481172849523513	0.00473399068818908	0.07814942228355147	0.000298580111911529	0.08648156645875056	0.05569067677789299	0.06158120634629134	0.0007187250730775989	0.01723063664534482	0.006554126542608827	0.05332898927098279	0.014615656720454928	0.045435403046499595	0.02384139841573693	0.019119694262456445	0.0523687220435113	0.02957909453566234	0.007442900104244685	0.009580177443022555	0.026097964812615032	0.0400614863205616	0.03569748655431688	0.060146234698063135	0.11883498874528431	0.12942752728140902	0.020314146376576216	0.1591511091857857	0.01110394190773678	0.02156310164398228	0.050712314026624766	0.041914797271843066	0.07238433890173618	0.007736461990028543	0.0942641809941879	0.048144857597832165	0.010480292650513076	0.02580522869586263	0.007553931372042664	0.014868578215173333	0.02792845845006954	1865.3887037193608	86.09990897352706	114.79872269829985	99.16506270354206	183.27525866726927	137.04657374592094	36.6178912890601	156.2985633753009	112.4521031433356	122.3277472524003	55.3624112005142	134.06630921875566	65.2186180130555	169.4999920781502	57.98568796178334	66.7627495794081	186.02546629198184	69.49033234221248	141.179740775403	88.41447919992304	76.84698754571112	166.33019678210357	59.94501368053677	138.1189932254066	99.41894451429138	66.9151389601143	59.272326540816955	176.92111811662897	155.14866235380637	140.49639241620443	55.83767390501896	184.71423931081293	184.79292774315257	159.1743267364341	152.47384603217938	57.28326149897207	69.17506226274057	138.6939127790331	105.79689454240736	48.53020300588008	161.8656500305485	79.74535574669721	55.73350730819841	78.1535282800394	168.52531372858996	76.73499671397627	29.50979377591534	60.19745884752162	39.80076725906016	84.46803016056415	79.84237795702292	43.04837806023482	93.2525358550156	127.6731981594776	0.0	66.58701265719384	72.02043309219557	0.0	41.41480559818135	66.02393789142089	52.936774435353776	165.57237861119538	47.1755128973114	30.650034397401413	171.99317383095376	67.93054297326569	136.76309275748073	0.0	0.0	166.32073621561491	51.71120561326048	129.2649789946131	98.22658590613375	0.0	16.486772556358904	40.01277092302853	150.99861583359524	15.289491859651427	0.0	116.79860751380383	116.01455434469773	141.0128784343272	140.5293673368892	38.51457487633948	68.8670211052414	138.62993307584932	35.2734087987303	0.0	144.2561647669339	66.06025049379063	43.53079460960775	0.0	90.75119012291307	66.14833341899666	0.0	40.80095229863517	0.0
160000	-3524.563758127007	-247.48325550965777	-2870.5773567928245	-406.50314582452484	0.28206916352602646	0.13711261817221454	0.9884297420759217	0.4564026672419923	1.0498854934619428	189.69373898693235	0.0	6.343202366742586	8.246781799643529	0.05487415914481675	0.010110522704709236	0.05703650411894864	0.016155409872990703	0.12529595732100596	0.02523914211231339	0.05957312683000177	0.020861883703528376	0.057309295345973524	0.10714428926913871	0.05557532183615282	0.01836127313585007	0.010600877104952566	0.013747954368722079	0.005117429872866219	0.0036909450481531713	0.033235038309946785	0.021528173021819346	0.0019553261350804506	0.05626676080696119	0.025580578882882905	0.010005939384499679	0.00667297784092128	0.014257877657614678	0.034015884159182296	0.002094540020730381	0.05123027032395486	0.06611790102972732	0.0013496403397865464	0.0637312990958542	0.07569042708784768	0.0369374585577666	0.026112616114249074	0.006210117238252773	0.04447278244341422	0.06340776880035764	0.016150481523652203	0.062238319626323056	0.0232335898064091	0.010551751503537824	0.1010040043644018	0.0028990873698843474	0.00456759905192873	0.0010216583991834109	1960.3067834554386	86.71984438016189	125.63286453188903	100.74625859969926	183.29949449648834	139.50688912061025	40.45983595182077	153.93900196725085	113.87638056565606	122.34939114680486	54.04645457965604	138.4676735825666	64.9361021654363	170.68082493699703	58.711548446430626	66.58321665067712	188.67727033147133	69.3988513811356	150.75471074509122	89.38640123341968	79.60382100755025	167.29178366850863	62.00800628833135	138.2819967787449	98.8277769406617	66.79270746683335	56.886194744887305	179.56461626356838	156.35479960332805	147.9478920233773	57.60152358501617	189.69373898693235	183.2587647204112	163.68349284017128	149.18307502758415	57.830437648386	70.48482309689331	139.81348284107165	115.11096366362067	49.61339088713839	163.83528073709124	81.00749738978816	57.23925399611633	77.01604525886566	166.08338711328207	77.53997045819126	27.59897388966158	61.51690824940275	40.021315842111775	84.3458987025867	81.5148071143538	49.27492358282175	96.04401860243101	125.19285494161214	0.0	65.92317801725923	71.75899615727604	0.0	40.444861978777425	62.764976168664155	48.619044710102315	154.646352648851	42.999506726012505	29.46933403174069	172.47894875421534	68.17717547392246	131.90614020504742	0.0	0.0	164.5102054760836	55.42927022006112	133.05375077652266	98.35801963235873	0.0	19.034433445353717	32.00571729382155	153.56168882324732	15.417759251721824	0.0	115.11917719798576	109.7740977569448	133.60925694656154	148.49510288980534	38.712280944907036	68.13065922819557	135.29396599496525	34.963434511696065	0.0	143.16751452131248	66.15477665404737	42.08891390589739	0.0	98.13674778889856	66.3092849584651	0.0	42.6710763408247	0.0
180000	-3503.997561730749	-246.77378495520563	-2854.77856814669	-402.44520862885383	0.20712346685485025	0.11156773923360588	0.7991273681046477	0.2943111386840162	1.0121528177314758	188.88107647355102	0.0	10.55164148689285	15.471654113020872	0.06435869671322264	0.018990923902380524	0.10967467556936629	0.04569050333803191	0.012502298503688392	0.03164699406055551	0.06991744068181062	0.018863543839103863	0.2082443566027101	0.015224801220032825	0.15749789386097007	0.050351102076808874	0.008962930985907674	0.03467291493209856	0.05201847254604225	0.021995578266285995	0.016811435804439064	0.012146797822236285	0.08074589027282546	0.004172053684026752	0.005823135435423454	0.005081238432017643	0.0166877019951423	0.013736258271017706	0.06268828490889718	0.029882553153903903	0.01064318552473038	0.03083156261972429	0.006845729096298651	0.02248016015587801	0.16187109440238848	0.03970340639713689	0.011943151735443556	0.03774573671504334	0.007237077773761107	0.016410268025419804	0.08232899757777859	0.01265130390478589	0.020674054842623444	0.04712025921748596	0.00944712394806806	0.00176652884638655	0.027503780594086133	0.008913308748667406	1912.736967614408	85.30427964860665	126.37932568373812	99.68477712975306	183.54775462696583	136.2853608607218	36.091417258341444	155.95528952845746	113.52946386037372	129.0381600155298	55.03547123216777	145.84098491801566	68.27444409604554	168.24441912093883	58.363409271545805	66.25246617328905	185.4576008127071	69.54375394270602	149.7629446200489	88.10171619273873	77.64919320486902	170.1851276652619	60.599698158649	140.23986447027931	99.79167991135465	66.93886140431897	54.30773316193905	174.1454336182279	157.14208793218467	146.1226634255654	57.89820080248981	184.8109083138817	188.88107647355102	155.7262356100665	149.28763693930514	57.57498359702693	69.1381204470084	139.217904893073	109.67572071546104	54.29720188867798	165.26923874618828	80.13371229410302	55.786738366253815	88.71139273998593	165.07558926519286	76.51530304073731	29.022101887572084	59.82036076871691	39.597882892256855	83.43564691999885	80.75714645597886	52.47506629886968	96.07792931937587	122.41334531994515	0.0	66.0840587096037	71.02061854718845	0.0	34.2094946857252	65.83019058151153	52.82888349956186	163.5125905965348	46.20128355877876	30.944554095472636	170.11093885625908	68.46215903732944	136.15255739448648	0.0	0.0	166.1576854403575	55.375575106952894	133.9227900293205	96.93217673662396	0.0	24.38917516300312	36.36978721811171	154.04757627640006	20.050850484365153	0.0	117.86238586826366	112.35196420940188	138.03993437008697	148.88895711044253	37.42594964120389	69.05415729945435	137.5878781705432	33.94988788129518	0.0	142.46932296559652	66.01940754445211	44.946233383272634	0.0	95.97599608809236	66.36695720965382	0.0	42.81761193896727	0.0
