it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length	Acanthoscyllium_TS	Adnetoscyllium_TS	Almascyllium_TS	Annea_TS	Brachaelurid_TS	Brachaelurus_TS	Cantioscyllium_TS	Cederstroemia_TS	Chiloscyllium_TS	Coelometlaouia_TS	Cretorectolobus_TS	Delpitoscyllium_TS	Dorsetoscyllium_TS	Eometlaouia_TS	Eostegostoma_TS	Folipistrix_TS	Ganntouria_TS	Garrigascyllium_TS	Ginglymostoma_TS	Hemiscyllium_TS	Heterophorcynus_TS	Hologinglymostoma_TS	Magistrauia_TS	Mesiteia_TS	Nebrius_TS	Notoramphoscyllium_TS	Orecto_TS	Orectolobiformes_TS	Orectoloboides_TS	Orectolobus_TS	Ornatoscyllium_TS	Palaeobrachaelurus_TS	Palaeocarcharias_TS	Palaeorectolobus_TS	Palaeorhincodon_TS	Paraginglymostoma_TS	Parahemiscyllium_TS	Pararhincodon_TS	Parascyllium_TS	Phorcynis_TS	Plicatoscyllium_TS	Protoginglymostoma_TS	Pseudoginglymostoma_TS	Pseudospinax_TS	Restesia_TS	Rhincodon_TS	Squatiscyllium_TS	Stegostoma_TS	Acanthoscyllium_TE	Adnetoscyllium_TE	Almascyllium_TE	Annea_TE	Brachaelurid_TE	Brachaelurus_TE	Cantioscyllium_TE	Cederstroemia_TE	Chiloscyllium_TE	Coelometlaouia_TE	Cretorectolobus_TE	Delpitoscyllium_TE	Dorsetoscyllium_TE	Eometlaouia_TE	Eostegostoma_TE	Folipistrix_TE	Ganntouria_TE	Garrigascyllium_TE	Ginglymostoma_TE	Hemiscyllium_TE	Heterophorcynus_TE	Hologinglymostoma_TE	Magistrauia_TE	Mesiteia_TE	Nebrius_TE	Notoramphoscyllium_TE	Orecto_TE	Orectolobiformes_TE	Orectoloboides_TE	Orectolobus_TE	Ornatoscyllium_TE	Palaeobrachaelurus_TE	Palaeocarcharias_TE	Palaeorectolobus_TE	Palaeorhincodon_TE	Paraginglymostoma_TE	Parahemiscyllium_TE	Pararhincodon_TE	Parascyllium_TE	Phorcynis_TE	Plicatoscyllium_TE	Protoginglymostoma_TE	Pseudoginglymostoma_TE	Pseudospinax_TE	Restesia_TE	Rhincodon_TE	Squatiscyllium_TE	Stegostoma_TE
0	-4094.0053264798034	-133.79770308985448	-2919.7475991569886	-1040.4600242329602	0.7351389485388484	0.7351389485388484	0.7351389485388484	0.7351389485388484	1.0	197.05641237398868	0.0	1.1	1.1	0.10680836078268016	0.4195317041796538	0.10365864606105332	0.44688184340053416	0.2251303657394021	0.2322969848700228	0.3387730566376054	0.12697609402684154	0.2547913167820899	0.2171062525050207	0.12453890599850767	0.23824188837659	0.18183355759863398	0.12818204673028188	0.28625728757695523	0.17743482783130266	0.5148915118687197	0.4353293186510059	0.19651439261629616	0.15794998607742583	0.11436323473577181	0.18945140560633714	0.5022055989921393	0.2373108743171918	0.2780312162607994	0.414860683872766	1810.6623045073627	84.96483386601331	99.77170372321046	105.80712096385145	196.18500643976174	141.6725268331744	36.17621645872353	154.18781415425352	112.63362694309502	123.9517710506333	53.533396828876924	134.97911457070037	65.68052629588055	168.28137661522953	61.30483080355568	67.1393725385105	182.6386730938241	70.14369074083582	138.15218892510399	90.07950275932367	77.30298629519848	166.32541804950074	59.3569002822019	137.59753361925624	98.96362929500101	66.90382177164167	59.36611519940486	168.11992700539454	154.60239271154796	118.44257626289301	48.85349218151972	197.05641237398868	185.5360527719207	159.7582738532158	149.24310245014152	56.597115780559335	69.21260566128234	138.84280340866238	105.50720318906184	52.22595590165171	160.2942276578337	79.99994992481243	56.73269846991042	80.52673907998985	195.00749579446875	76.37191131608435	29.53072618471965	60.27068241790263	39.87575097208953	84.8713181991156	81.49380668567595	75.25801323516184	89.6600013299285	128.35584992106507	0.0	62.73139395904792	71.52979403425631	0.0	35.064735976351905	53.756936508850494	54.40809621868387	167.86813809501646	43.061887950302626	28.997874129260893	170.07191472667827	68.491436153811	138.10174523719354	0.0	0.0	166.23339560315205	55.614444214535474	137.537222063485	98.70302728589652	0.0	38.521307558478185	54.402123815198074	154.0254887138177	14.997390645548046	0.0	106.98391896447785	117.78766360468198	140.35976338437163	149.02153667483407	38.32118299062775	68.76661839995467	138.56008631365597	33.298600653603394	0.0	140.8618280323262	66.07813307554224	45.07562664245612	0.0	96.71442464104918	66.01355415772731	0.0	43.445209183231306	0.0
20000	-3380.9034201163136	-133.52156370855266	-2844.584022247046	-402.79783416071496	0.13768281787223477	0.12999909706037435	0.9542554114544047	0.3418690527987716	1.076700363171808	189.78878301190576	0.0	9.896269419416699	8.256947094474757	0.04375530389157482	0.018561455588576862	0.04999060714385577	0.08343208946111304	0.019167421466382666	0.0671546968359293	0.021312485662481676	0.04618774963380634	0.02476976439435952	0.015854500783955238	0.014850151485448443	0.005980184855383481	0.05212639110512596	0.033990085244695774	0.011745309317024418	0.07125460756918119	0.033109716636697616	0.005227852749983166	0.11461340136813573	0.05750626402608056	0.019091201812489255	0.017386281942505865	0.12833536257372374	0.014552648900898189	0.004864962457288347	0.001081561722718663	1830.5141756434418	85.05442267536567	102.81081996535936	99.90143139214882	183.91942516868963	138.4306478058468	41.69213073194902	156.3045063070255	112.63546271329008	128.09331169061613	54.03569301511849	140.18830024100197	65.02149435886885	168.80479990140694	59.785720027805816	66.28079305993829	189.78878301190576	69.51668838680827	140.05092854905547	88.8659943888261	80.45347893835859	168.42550910738458	62.33059221586256	139.06127081584273	98.84403282597046	66.55256393173867	56.178922278449114	171.8560818035878	154.64128362347859	113.69545762646467	54.326417087060626	188.9929587316727	185.22537639086545	155.68303105739233	149.54621444211534	56.543828447868144	69.69740368292337	138.76534236457542	108.4238515701371	47.97851224076032	162.1910985710751	80.2004365382053	56.09576559915904	87.22803660460099	185.48846375503663	76.5232095407493	28.26049102514425	60.52765256616128	41.09755020992114	84.76409642227445	80.28865062761916	63.524198224741205	94.75644966956189	128.1996792305796	0.0	66.4613105544124	70.23042581369923	0.0	39.69514518354304	65.13853459045481	51.49325074359622	166.96447907445636	44.21079975148003	27.21404247579591	172.81162948971348	68.2409488208345	133.3380700498702	0.0	0.0	161.68017595648735	53.91254401955864	135.32469405711166	98.79980933777675	0.0	38.12672949777546	52.48820952926438	152.03032707088565	21.060769376541767	0.0	118.66102953427463	119.34677568888856	137.83386628588877	149.06474168999793	37.67125614448239	69.09072845822007	132.3568110010833	35.343089464835884	0.0	138.91175549615286	66.14038162426732	42.57569880078103	0.0	94.2589253300246	65.6366419915232	0.0	27.85534026169209	0.0
40000	-3381.9793240566273	-131.04359754117107	-2852.7176795393852	-398.21804697607104	0.1304319704798127	0.14054718003738303	0.9972673986559927	0.3144838738971464	0.7747878833720477	184.25606479947328	0.0	5.985469398075857	15.465442932297378	0.0680134378271492	0.02070691104618921	0.02423268557368164	0.01423094268976464	0.010432683843242285	0.16914512787611988	0.029106617512069288	0.06959125092762779	0.018714969176474392	0.0818142138785586	0.01830266413794037	0.0003754807263529894	0.04594772932027434	0.015461136842118044	0.018728692980912003	0.014312994073570244	0.008472510544864061	0.031535924336354444	0.07899079503357508	0.02987276269594377	0.03644600438562375	0.03125943405218356	0.10855684757276719	0.025047171983439497	0.024222325050693806	0.0010715878335835949	1827.088898769247	85.01057752400463	99.97568116138275	105.40770764279534	183.84175416027463	145.62798925382955	36.83095394333102	155.336403607731	117.70094468677003	122.79603236496055	54.08073444341091	140.57979574104982	66.03400688826201	168.5825351068127	59.5256639045566	65.72922186659953	181.8536650827713	69.96466125404503	145.44785122395564	88.14575691829057	76.50141109588736	172.7692915478825	59.394702457558076	137.84263794444684	98.87786253060348	66.53500932252733	53.62318882489289	171.17719820108277	154.27556652272435	125.26589338794763	56.25040200155729	184.25606479947328	183.12098696937096	156.85282357259288	149.16700631874792	57.19531668876968	69.89861413649962	147.98652461543514	110.37289645089808	54.90880962736186	159.5370334069938	79.97495095843716	56.29864995384708	82.56646834336237	173.0673657082624	82.5867808598357	28.8840865653245	59.418108112563196	39.98973278808082	84.87753429939359	78.00708831674277	69.32314461101925	94.01093985925901	127.21214378163646	0.0	66.60420297418777	72.03971063807938	0.0	41.23293902941633	65.93378531622199	54.10831340668546	159.18052962128712	46.15229495161754	28.929538580896875	173.06909547427563	67.53594806548159	136.87533387567032	0.0	0.0	166.08541380411495	55.943424494196314	136.54512209497094	98.82452254273342	0.0	40.654726413196435	50.80292352413055	153.95704049082764	22.76033828868393	0.0	112.49987093713797	112.811641342379	135.83211534552882	141.06596515037197	34.59313946120467	69.00334510454056	133.3356022603002	34.95687715395195	0.0	146.34575891903543	65.21119057581349	43.16595339332333	0.0	95.39290448125125	60.57488962653402	0.0	38.52311351245578	0.0
60000	-3380.542895604987	-130.24466823955717	-2858.8329176713833	-391.4653096940465	0.3203631082292501	0.1926427887729423	0.9238881461476816	0.3095880291657895	0.863587825417559	193.677078443084	0.0	19.803140296015734	9.308413037070592	0.09640496966323628	0.024347863341261218	0.025931167722167584	0.02243191878773916	0.04692798894582635	0.019410338282260544	0.017950962729576143	0.05827341242658269	0.002643328418380479	0.06790467622066977	0.012249194366254311	4.018329973492986e-05	0.008633927547985094	0.016675901827776205	0.022562717415402455	0.032466146896388964	0.018652383938311878	0.031674287514968105	0.009283862962858715	0.04153628395708658	0.049379704263211706	0.014509425341554255	0.08431829329572299	0.020363493311642333	0.00357152530467692	0.005756769408164363	1819.0935053132343	86.15184562136142	103.22032946086938	98.86758561808684	183.4404942015581	141.8830748241953	38.01088876570407	155.94313161095295	112.31067265631164	123.21446915223993	52.62793299724443	141.20531685200993	66.25531888981318	169.1103876375926	57.76118479996791	67.02869233169855	181.85471201544965	71.70354343251907	141.02015333493068	87.95950433150831	77.80177079290632	170.1441903939388	59.41180660439948	145.60909074495441	98.83502958156346	66.7154242465002	51.39906626389197	165.00424602980243	155.6533959173936	114.24041427299989	54.34718628048564	193.677078443084	185.19531694490558	156.23813132934566	149.58915743976263	57.21795894317814	71.70985301428477	144.7359265788585	109.71544330355576	50.54076505351329	161.10126285997973	79.89740428852068	55.98830676949804	84.5102066433483	175.65109914706375	76.61820566646782	28.60429704229739	64.37482178012073	39.99398174127421	84.548163990858	81.23065438930057	73.59967647722914	95.97357593453971	122.32831444559699	0.0	66.40110003526014	72.80978769748607	0.0	37.59884506836554	55.91677120332407	54.650433296425525	166.88666897872307	44.617809150360294	30.925960649210616	171.54810779807372	59.753913701067944	136.64320265944426	0.0	0.0	166.3069763505908	53.276727131373654	121.42035056561242	98.03219883502885	0.0	38.865391073942	56.497233965752436	151.807926836938	21.695234750780983	0.0	115.18111995001318	113.33442120302315	138.70995984809775	149.10204506148818	38.094816903612774	68.90764460528369	134.311031499655	30.287230288060037	0.0	147.1138067529399	65.81796018374597	39.96655494095855	0.0	96.069309364433	65.6611828779305	0.0	39.104462874148346	0.0
80000	-3376.5870792696264	-130.71678650531493	-2850.4220997358075	-395.4481930285042	0.20228296359348366	0.09628229983499553	0.9398059678416455	0.33755546125717356	1.1899796973783436	193.23800054580968	0.0	18.148250274261716	3.5421942413340504	0.09274407485803175	0.03435694012679251	0.01860771654239111	0.0391658842802264	0.046096232524829465	0.23689505396201255	0.07005874602332311	0.07352568636935537	0.006260625553215073	0.05536756234817807	0.004660832676227874	0.01012634508898437	0.004299962703521933	0.022060629244551305	0.013713184468063466	0.02205482432779821	0.006219724412420741	0.03676902327400528	0.07930476820786413	0.06552129939614743	0.023088100207240544	0.017731272491593238	0.0752108623002232	0.04159990364353707	0.00435455351231567	0.0031051216196348857	1815.3288249546263	85.90144938740515	99.31126970458435	110.06581749336019	188.0532944589396	146.05130960428048	34.104140953949	156.52737581508873	124.97813556152903	122.07372591409795	52.772029675770504	136.25430217019107	65.11097635462288	168.11123091091102	57.650053165669874	67.33392298749918	185.0233377823461	69.90870556191696	138.79320968732083	88.10754732964605	77.06300515107638	167.45622483346486	59.664134305747595	138.93554170167826	99.97631464263604	67.07136524681358	51.82871877454732	171.99198871335187	154.8949855734486	111.7992610683707	52.81609592992429	193.23800054580968	183.470786333834	158.3211518379626	149.26773587307713	58.1977382356514	69.33891791703103	146.95618152992867	106.55343903625206	55.943632826341954	162.21972098271314	80.25416925833045	55.6756811845394	71.65741762418179	176.4229773792543	77.87089219029103	34.46553414377325	59.33092704061334	41.0259587944914	84.57935618783881	79.04824437783509	79.66062752576694	96.35847247547576	121.31802617123624	0.0	65.8416377312	72.85676028446393	0.0	39.62203905493724	65.4424728371028	54.54580707832619	166.28744855353096	46.48796799066461	30.87763100901673	166.2232841808587	60.55631942726146	137.92693564435132	0.0	0.0	163.65486057367656	55.96539835262233	126.1186032609415	98.59370421672342	0.0	35.75204238628117	57.87639801179546	153.86907671605087	21.878232655197397	0.0	118.3193952865788	113.08938242080261	134.8579578903967	145.10103699711107	38.88890777331721	68.33287712874794	125.46950783592739	35.41305935058517	0.0	144.56294308188657	65.65985957543373	45.087891579778145	0.0	96.28753493478455	65.87233262060037	0.0	36.227475060532946	0.0
100000	-3385.617115643473	-134.23463440073397	-2842.4906504466408	-408.8918307960985	0.13557058788636017	0.09797515237998036	0.9478738046504053	0.3737508699055627	1.2167026587374028	194.89178622073732	0.0	19.261654229102724	4.975574483903858	0.0316467286406641	0.02298863163077136	0.00870175291853217	0.07563881103022886	0.0234260065189624	0.03848390843255325	0.0848828932432182	0.05124432677177746	0.014750704957314429	0.016987626501281414	0.06165392053512828	0.02101578765197595	0.0398069235136311	0.006562961152616376	0.03159923512868738	0.030059344533643634	0.06390030614206899	0.016172728501873283	0.01977965801629619	0.15806668364117635	0.04849650553386381	0.011632691196685984	0.09316215341785675	0.014149192171637586	0.03391542250362911	0.0018931346347484087	1862.345856790938	84.91898387433264	102.74943013166099	111.787056509892	186.33592714584393	154.805459369172	42.03726475648868	157.51535629027046	115.38368865968735	131.94968908571414	54.16404817924778	142.82392406902397	65.17892766669783	168.4545724537586	58.55637035106141	65.64712501556087	191.81212069059862	69.50351325178426	138.44759039892125	87.95486736217748	78.61266626900726	166.34306643194725	59.410304741308046	139.3198684066354	100.62037762413208	68.09527975622208	55.05504695735122	172.36059202491805	158.07969819428808	123.75329308666299	57.79032654035839	194.89178622073732	184.54218593711474	157.58735937088082	159.76849836517866	56.61588864547022	69.96555757446963	141.42099881122678	109.912435633811	50.680726595126195	159.16094776526512	79.95358804493219	56.51691922637059	74.49066126303676	167.00484695944024	81.20191980197883	28.588356872488703	60.351991843552454	39.796919541646275	84.78325147972694	81.21108731232415	84.40732829712022	96.36813012103389	114.3242450243518	0.0	65.6235030559726	72.5312825794334	0.0	40.450427731925494	65.87029264438259	53.54031843455492	167.702941282787	38.70728820888395	27.269186000493917	167.22912305474225	68.15145577687406	137.84471172646562	0.0	0.0	166.30660617155056	50.86961875926965	124.92682675867862	97.8329993510274	0.0	34.556865628722605	64.86844062759427	149.8723193622534	10.771045502462792	0.0	110.85196828662617	122.45269727692154	139.51766333969294	147.96440208033874	38.92918570810605	67.68450227695017	137.63674969717167	35.213810418937946	0.0	147.6142317124299	65.92411450789295	39.920467719067304	0.0	98.23251524659024	63.78109520653875	0.0	37.829468606617425	0.0
120000	-3392.291817046811	-130.07703794304012	-2860.93028270638	-401.2844963973912	0.16429985192199179	0.09734795194316044	0.8286978366426458	0.3879464881963683	1.199286816894901	187.8028816196883	0.0	3.157058200682531	13.138390207597697	0.09374020071463846	0.02209507337222456	0.024281928431058506	0.03266868933461247	0.012411283143060312	0.07514058432943584	0.043344156315393526	0.059195581904148545	0.010002783250363962	9.02950086746282e-05	0.010677629238541451	0.004148001803186167	0.010548645935879874	0.011778323418769256	0.014487789496985223	0.041404821147636536	0.03940496768667942	0.016951788326377875	0.1897962776839176	0.19124666868318427	0.03623119904015666	0.02468736496432474	0.039799042175539125	0.0142522492148201	0.02784719383091964	0.03235102913578766	1868.9301264142762	85.5131360482002	100.23568344248937	109.00884514577346	184.17600892549885	152.02174191885155	50.28467007283585	154.03198955889346	123.66874482763262	131.8761507094462	52.82842681173428	145.5441634537276	65.50573145371958	168.98818491111294	62.67090430573376	67.35617132365152	184.49058872665995	69.34779731519944	138.27566486761685	89.20606406910969	77.1634366950545	166.50388654763938	60.24362167441296	147.21476984195104	99.72517053779461	67.81080178189899	55.474307987528476	164.92269941417877	155.13944879727364	118.65392770670633	48.749944560847574	184.51856527110886	187.8028816196883	157.40324777727437	153.0262068147077	56.48495407355197	69.47249812721421	140.0331089993545	111.83089932495805	50.13111260671138	158.47418069361558	79.79562016372577	57.70268060963611	72.42496828667977	166.88153781604103	76.75449542828422	31.036607739019683	59.865677344746985	48.768825077700924	84.63932912948121	77.00571868722636	84.23084753272526	93.30446765000912	108.41677090826725	0.0	65.3967902908193	71.7514815348144	0.0	40.22819591145719	65.57291924709276	54.50821692850348	167.56978446891878	35.86646614500909	30.94056251530818	171.4480134079735	68.14997868783895	133.32090334356423	0.0	0.0	163.03382317116925	46.15587087954781	126.33624865339642	97.69913574463952	0.0	37.86725184312271	61.793882785475944	153.94567240471136	7.49112434162927	0.0	117.56640027028394	116.86230900399383	138.80079186049065	141.2391534320943	39.041553286346264	68.93538303042281	136.7172390682177	33.07922815681454	0.0	144.82709164182143	63.971999749063656	39.1335321353443	0.0	94.99823878177756	65.44477981464546	0.0	42.81946834889887	0.0
140000	-3364.312375433769	-130.5628004604752	-2852.256797287805	-381.4927776854888	0.20574492433537087	0.11455276679632453	0.9002415160840984	0.3356907433614806	1.140342408713149	194.95253850297107	0.0	19.79800121168619	11.309681668849944	0.10003906769598392	0.013016986977767618	0.04269575649773948	0.008352237635927795	0.03436201612568197	0.012434989332313915	0.055030388453143564	0.0502481421595078	0.006573607467907563	0.026751780263820198	0.016466977215729522	0.009561351400161781	0.0007631470525249417	0.015986359353738225	0.015207020987769021	0.03798503430592403	0.01997949299474227	0.01758205911175295	0.08772888248083703	0.05417399952885069	0.008043150580846184	0.006300785542906581	0.06581346591138915	0.027156153482681907	0.0014144556992001084	0.011946761045023457	1894.0259935941351	85.12488787888378	99.00524315526893	111.79710295419063	186.76790617693538	147.52988317042394	56.82956488522073	153.71818807389988	127.85423548199108	123.45752974394459	56.216792344231294	148.58769535792513	65.48071311113668	168.08145778268442	60.07445284615878	66.85659924484456	186.3437458885994	70.84928554121319	140.73581146753057	88.44051476914736	76.13925520548713	168.39521554286037	60.33641910348114	145.6654772173279	99.12788098856687	66.72146448464562	54.94160141448594	169.97345100411803	154.27106413859124	121.85129540104897	56.4128063786526	194.95253850297107	183.31342124330519	157.12908314018293	149.55522437940806	57.30871215297299	70.36251667660316	149.53447722115047	107.46348849824813	55.07590021914792	159.32416208759508	79.93074250869381	58.021505902160705	73.13557875628413	167.12080973258384	79.2131144414807	31.35820470803317	59.693064889887914	51.45775861477144	84.63713302653527	80.62696833181596	84.1765658229851	95.6392909290266	113.99251102148673	0.0	66.58976657897061	72.64418961619899	0.0	37.01278994167941	63.08809874775194	53.81388398297703	167.50442252638754	38.76125024884741	29.696500622755476	169.81959610679317	68.45758735358896	138.05118170318792	0.0	0.0	164.52459381987757	39.664026988754514	133.39133453730875	98.75443017775562	0.0	38.877331570844966	62.96332944723853	153.6655312456383	5.669065854672549	0.0	120.04718972606618	118.54036974239689	130.38572178617395	148.88960482183927	33.66397263364698	68.25312438628278	138.05786139556065	34.38005661143449	0.0	146.90258655878026	65.35560300987558	39.14391569848654	0.0	96.72030427507175	65.77044167297073	0.0	39.3797183131767	0.0
160000	-3385.169794090133	-131.84010251291602	-2863.349756476256	-389.97993510096103	0.24933921237579376	0.14502406846780935	0.9806511178886954	0.3688965907400843	0.9420531370278561	188.27015261197937	0.0	8.400033355939811	17.675864308536518	0.06647594837381297	0.024178495223446585	0.0076780473655253265	0.06786999943515844	0.01954953447206013	0.044443043732580075	0.11698015388749346	0.04943517597474111	0.0007632899235520489	0.010129041403916322	0.015273503525901533	0.009395315666521154	0.01971387270371807	0.011297147871968873	0.016232409031525945	0.05439648650122244	0.0641704251352351	0.023270191101899984	0.09340531870890835	0.08967173663841357	0.012427055657220935	0.0046001995140362946	0.04282256053330437	0.04361164747820339	0.01127290675545551	0.0051005408513661666	1930.8590742635095	85.00021269205624	101.15069049809605	117.90700741139192	184.77784487979042	138.02506179103685	58.680198742502995	155.8389053566638	134.41115867001804	124.6814308900754	52.23477693281604	141.52185057204326	64.78196990202116	168.26140524608562	59.21624456142173	65.78635726187126	183.52314404863407	69.8508691883766	138.34253866985256	88.02613352099132	79.388862856464	169.62009621347522	62.653202662990346	155.58286753696473	106.77602867963611	66.78580849500237	51.40796247332556	166.36810532122962	158.91547339256678	118.95511557808277	55.26829115130059	188.27015261197937	186.2944896371915	163.22036941653954	149.82438215927678	56.57343334506771	69.30916939628229	140.1235917614516	116.17338896178745	56.35959139237427	159.62047576324136	80.13396154309319	55.990582528196256	74.28711354449794	166.03063571175662	81.16972510832387	29.987716726431113	59.63016748264267	53.60306674056136	84.11412275580939	79.90215082016357	83.67942564567713	95.45080879443402	115.360558004548	0.0	66.52050550187502	72.16673588169688	0.0	30.38903232275323	65.1298876427282	52.32822290596312	166.00209171293713	39.055659664621565	29.939889992046744	173.34300904077938	68.45925951956411	134.24808386036472	0.0	0.0	160.53988659526266	32.306286127701284	132.40931075649647	98.58183905129427	0.0	37.58229742331405	65.36381749227778	153.45905379884692	21.018958087459332	0.0	112.04901474509126	115.96387680547795	127.71877086814274	148.84484863818676	38.541344408165585	68.89911316330122	138.27729510409492	29.294148051037336	0.0	141.7296195525349	66.01925947726639	43.06285903388971	0.0	95.84238136513916	63.60300217030613	0.0	32.28612798271971	0.0
180000	-3376.0308413891175	-130.10198738565705	-2860.165346777335	-385.7635072261255	0.19893452483901983	0.08862958375794672	0.9664627217581943	0.3207667601447655	1.035613683919817	184.48373247395668	0.0	17.91055484162552	7.433714576368254	0.09343769745819115	0.020662550284410264	0.05803074193110802	0.013945697807810943	0.021822140349707714	0.14317550717802877	0.003593233393471224	0.04328774538293279	0.009056622311526576	0.0025874514671192527	0.007528444581632361	0.0025319069166121555	0.03337206304100135	0.01776698835699289	0.019309755384425472	0.022658704061522546	0.07858233631000501	0.015298227325744944	0.07267055112696881	0.08286971165820026	0.0156649091545411	0.016625151725581305	0.035272278631224105	0.048618039425253994	0.006434020717434417	0.0024143060542528294	1909.7775397789046	85.3163163400279	99.24144911214518	115.37473535651753	183.67556761744513	142.88000257962278	55.97796509070045	154.74292226515522	131.0866902220136	133.08407142905094	56.37840063220025	146.36380237199623	66.72626120447751	168.7927050547405	58.05650482634409	67.18533044840329	183.87508137447853	69.54612243651836	145.33959287419535	87.99940145973073	77.40144449552851	171.65399040862914	67.83276794686543	149.84476095468972	102.52515926359324	66.93939246619526	58.528029309954626	165.91631120858594	165.726580255979	126.53148864058855	51.3848313907351	184.48373247395668	183.49699570942394	157.38149708943266	149.52568344777424	57.38406272790081	69.91114381984787	140.66637471851035	109.86484591076186	51.42053859373479	161.53981081406894	79.8902364613858	56.222953073234066	75.04998302982388	169.40439573614032	77.24426430871567	27.480776264110606	59.358819636368615	50.03720974128628	83.37301517339456	80.22247092269498	84.15877217367905	96.47105831916298	127.62724361273276	0.0	66.3587987685713	70.96513250731263	0.0	39.52850779981718	65.9229589406419	54.309220988938335	167.7528296119597	33.39431893315062	30.24671814422669	171.86502957470475	68.10265508547187	133.828392132198	0.0	0.0	163.20050517549566	33.10937223357675	135.52779277888607	97.85828928599632	0.0	37.259169720010824	60.26780445188451	152.13097242805992	23.08134856018294	0.0	111.06490430114324	115.21547167982543	137.74605463033666	147.80085038000294	38.653898471255786	68.73262493728335	128.6618118913474	35.14330660070429	0.0	146.96339425363567	65.69800696226223	38.47232711145297	0.0	98.06493528315956	65.89795966962016	0.0	31.835539319900935	0.0
