it	posterior	prior	PP_lik	BD_lik	q_0	q_1	q_2	q_3	alpha	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length	Acanthoscyllium_TS	Adnetoscyllium_TS	Almascyllium_TS	Annea_TS	Brachaelurid_TS	Brachaelurus_TS	Cantioscyllium_TS	Cederstroemia_TS	Chiloscyllium_TS	Coelometlaouia_TS	Cretorectolobus_TS	Delpitoscyllium_TS	Dorsetoscyllium_TS	Eometlaouia_TS	Eostegostoma_TS	Folipistrix_TS	Ganntouria_TS	Garrigascyllium_TS	Ginglymostoma_TS	Hemiscyllium_TS	Heterophorcynus_TS	Hologinglymostoma_TS	Magistrauia_TS	Mesiteia_TS	Nebrius_TS	Notoramphoscyllium_TS	Orecto_TS	Orectolobiformes_TS	Orectoloboides_TS	Orectolobus_TS	Ornatoscyllium_TS	Palaeobrachaelurus_TS	Palaeocarcharias_TS	Palaeorectolobus_TS	Palaeorhincodon_TS	Paraginglymostoma_TS	Parahemiscyllium_TS	Pararhincodon_TS	Parascyllium_TS	Phorcynis_TS	Plicatoscyllium_TS	Protoginglymostoma_TS	Pseudoginglymostoma_TS	Pseudospinax_TS	Restesia_TS	Rhincodon_TS	Squatiscyllium_TS	Stegostoma_TS	Acanthoscyllium_TE	Adnetoscyllium_TE	Almascyllium_TE	Annea_TE	Brachaelurid_TE	Brachaelurus_TE	Cantioscyllium_TE	Cederstroemia_TE	Chiloscyllium_TE	Coelometlaouia_TE	Cretorectolobus_TE	Delpitoscyllium_TE	Dorsetoscyllium_TE	Eometlaouia_TE	Eostegostoma_TE	Folipistrix_TE	Ganntouria_TE	Garrigascyllium_TE	Ginglymostoma_TE	Hemiscyllium_TE	Heterophorcynus_TE	Hologinglymostoma_TE	Magistrauia_TE	Mesiteia_TE	Nebrius_TE	Notoramphoscyllium_TE	Orecto_TE	Orectolobiformes_TE	Orectoloboides_TE	Orectolobus_TE	Ornatoscyllium_TE	Palaeobrachaelurus_TE	Palaeocarcharias_TE	Palaeorectolobus_TE	Palaeorhincodon_TE	Paraginglymostoma_TE	Parahemiscyllium_TE	Pararhincodon_TE	Parascyllium_TE	Phorcynis_TE	Plicatoscyllium_TE	Protoginglymostoma_TE	Pseudoginglymostoma_TE	Pseudospinax_TE	Restesia_TE	Rhincodon_TE	Squatiscyllium_TE	Stegostoma_TE
0	-4544.629073255381	-141.94695090525752	-2935.829478947034	-1466.8526434030887	0.41679083197881406	0.41679083197881406	0.41679083197881406	0.41679083197881406	1.0	235.54843904456584	0.0	1.1	1.1	0.628083203756188	0.43168582704739766	0.21052239785388668	0.4058409081291797	0.2764836871533164	0.3255349508543937	0.26824014382220385	0.2113845822581773	0.4984125795075395	0.4113042525854438	0.5082102063505625	0.505037235519678	0.17825691658603732	0.5584374727397099	0.23661191470760096	0.22202746912660234	0.29202782720817877	0.20824214120346024	0.8807943390397365	0.13518129774421078	0.14461696730089849	0.2867416240099486	0.18756626803192114	0.5271779788773315	0.1696612148488828	0.2604773456114875	1882.6220158588822	85.19183954133157	98.00782707817844	104.07123345997765	179.4327713820839	146.73574652640252	38.533968785523854	154.0220020073829	112.3055512511817	126.25843048249939	51.77110557826841	135.13138519399104	65.69692407911002	167.3734916036883	64.10207991788413	67.39606973992935	176.3108880037695	69.01885075881756	136.32424254766474	89.7029620957878	76.8093118528769	166.5241506497678	56.854260463363374	137.79069955919684	97.31642017756361	71.61476304434667	55.913945826054466	235.54843904456584	152.81757493822786	120.94252844237322	48.80758274817294	179.63948899332166	185.1012347871335	165.6024204230782	148.06266738889045	58.02103486332486	66.56910760529158	138.86920842200115	108.33983580314795	68.99968928624173	161.02520657425433	80.74006091209495	56.00184209272124	72.6526205643237	170.5939279819131	81.12115460480838	46.024066529753725	60.43234584610827	51.0738756550012	84.85524624707247	76.21833040038143	83.24137626883737	97.27713645912891	121.42446120225304	0.0	65.37091761597958	66.51809387326986	0.0	38.46842760269109	63.0227243516722	54.703929995113185	167.0721523727343	45.28838779893155	31.99552661896733	172.03864300943377	65.48228887831037	136.25489028747126	0.0	0.0	166.38448983741074	55.414228315222545	137.7014469586223	97.16194375136035	0.0	39.86117201119533	36.878158141950856	152.66746165041295	8.554025066976447	0.0	114.6687136519056	108.2544808478852	141.55220457396564	147.97541422520823	38.71874287558367	66.52757105703209	138.65347219742972	32.91661807675835	0.0	140.79462112909738	65.55122396635285	45.086044704698736	0.0	89.46843695413081	64.66051223789901	0.0	45.891304041163366	0.0
20000	-3402.9401873725624	-136.00332456909734	-2868.9572755920435	-397.9795872114214	0.18312151103584048	0.08645055581191124	0.5671809501207513	0.26428777660716696	0.9361190041649579	232.56801494923124	0.0	4.149997420806604	6.291473668052835	0.06225042256962044	0.023912181642456152	0.0604666825569466	0.04527128779617833	0.017756151444147616	0.03525254745964225	0.04681568885602095	0.03935164487188164	0.04356205452211379	0.023984801611858234	0.0053946949891258	0.0007226837861623904	0.00565199500759643	0.015597283328440535	0.02611815796437604	0.019656712279425496	0.03090975055059227	0.0054266507274843235	0.016641464986692032	0.050477344151691125	0.023524426335395695	0.04503278088121311	0.05827614147342247	0.03702290194260301	0.004344872751309981	0.014944352359661286	1910.6017402010223	85.72863258253236	98.766289237442	102.61257505613143	178.67649843305435	142.0916129827387	39.326465993164256	153.9015065171076	118.5605360344347	130.99360259862155	53.210979295547546	134.96515042662875	66.02229570686607	168.77970238549474	62.510491835867946	66.18115071434259	180.01575628178094	68.34030522284647	145.87112608590152	89.27348952049799	75.96141502360815	166.54258174266727	57.026422465502485	138.64555326633055	98.83261392619305	69.67573693597484	52.59460167041046	232.56801494923124	155.86787100915848	125.03048162600167	51.919131636393956	176.559726235404	185.960373196435	167.3280854637808	148.72558518759186	60.33742234196887	69.47388388615998	145.63956706484745	108.89924728518004	54.267824766164566	163.51760841033652	80.43170994997494	56.7289389716184	81.27519121114982	168.20629534846017	80.72757764721335	47.9244775178622	60.053575376598815	44.88677168306466	84.9598450263352	80.63170354893235	85.48104936907848	97.06427462239577	127.89811398180184	0.0	64.71289303755293	66.60788240964513	0.0	39.95836569023073	66.85200787095334	54.514407766878165	162.43425629515977	47.937955546868956	32.38953909241108	171.8204351129183	65.02403059035261	124.9990983948686	0.0	0.0	166.395399060105	54.92198564882993	136.64848628754874	96.32282727503558	0.0	34.580847480645865	47.579063360708155	152.3281801827043	1.4843203777463287	0.0	113.38854587298087	109.11833416456655	133.88485586331345	147.7413815606605	36.635826822021166	66.52754314924277	137.53787678060132	33.989889776310655	0.0	142.43933696555774	65.3910264187598	44.29001405283967	0.0	97.19362079890901	63.312437127526614	0.0	45.837055122265824	0.0
40000	-3405.19762473822	-135.92645718512745	-2873.0488120516748	-396.2223555014175	0.14816328447247423	0.05983998737696665	0.5693432557139613	0.258803445464336	0.9017470345616614	228.5485408205511	0.0	2.5049607463532957	3.097227918038162	0.05634218573850129	0.03524080856054883	0.06449064516958572	0.046966284952585174	0.01579653389351125	0.1341072558724043	0.011562846887204811	0.08437575164907135	0.029078640749182136	0.0013838796413285454	0.0037427853897571257	0.024459555499688302	0.003578507422986058	0.011063787657188668	0.021564472363804366	0.01161504860455383	0.02764277315213585	0.017410267901311238	0.006740205269962316	0.22835775737630068	0.02261856569994831	0.025147719066850864	0.08417949935867174	0.02494414948841266	0.013706312141229955	0.014037429772627666	1921.549110544449	86.11691276554632	99.92938583031854	100.26881892610471	184.29111777985233	150.17299525005106	40.5162442390382	155.8254982566419	122.96243768553309	133.14368170528462	52.05197560525182	137.051910703167	66.41614442730386	168.48418383960745	58.35206958969542	66.25780248516257	175.58009394418303	68.25753381256455	146.4249890523133	89.10459218010145	76.54067159356664	177.25850114565466	56.855718032101535	141.46136493725484	97.21623913677801	69.54131625958932	57.806037915759184	228.5485408205511	155.5777556010812	112.10522110435319	52.06738627807856	180.35349998712425	184.52784474730444	160.438733919916	155.95862409319938	58.21003162159683	67.77631380274711	140.61932944359137	109.9807799324409	43.32020828168249	173.17288554212658	80.67642008051308	54.98251035983216	84.79913760859172	167.64467413128816	83.86321902212595	44.80342014886106	59.19795072202792	42.20476521509412	84.6411308485525	80.29933398049211	83.16359528457028	95.20920377147527	128.55113672960928	0.0	65.61355197304293	63.75908693458884	0.0	34.42360278764604	65.5710951398299	54.44866987349214	154.67276888002377	47.56935953943808	32.01256235096764	171.7363264392571	65.16328924241529	128.8499629537521	0.0	0.0	165.5262249456516	55.981246472739876	125.76625095732359	95.41937051794919	0.0	39.80019589702509	49.003458162017004	152.61569579967227	22.09497189226978	0.0	108.08103793015484	112.68796531705175	139.19009420956957	145.14325457659334	35.890283834617215	65.8767902332894	135.92922856868543	33.78406740590889	0.0	140.89805924409438	65.97930422974683	43.87489770882345	0.0	98.59989111180668	64.56854742805406	0.0	44.77286584590639	0.0
60000	-3405.741608146241	-135.42580215830293	-2879.615955965847	-390.69985002209114	0.13482470058986293	0.07986538832731266	0.5466651669293708	0.28310867517205773	0.894665704088111	220.0448915767168	0.0	9.17548562678862	4.714103194385819	0.055231001446114605	0.025147248567137095	0.017860966997281492	0.058008840849323014	0.003961973078791969	0.10409620425114334	0.012502921962162726	0.06935541911367134	0.018152380539982665	0.004531347963029981	0.0001623192117909605	0.002713584576333201	0.003404328513803216	0.00945147693294737	0.02676061502881317	0.02454036443142451	0.04477781645446615	0.02002666341434522	0.05585141516934522	0.037749696247309936	0.04446126193146451	0.023846176422271683	0.014293411135733475	0.035800111016300526	0.003457364213048647	0.027528720824921273	1929.4218953907118	85.23290079618404	101.09320663940011	103.57674963857559	182.76046088821917	156.65550986744566	49.4676144173957	158.00358322208746	112.34334378200332	129.95319028702275	56.11328006902802	131.89295034076832	67.87475379502906	172.40303982317408	62.27043557475241	66.38901999341358	175.88079658601032	68.64009624220833	146.13234698949339	88.99598631764009	80.78288345385049	166.80573834372234	56.96290498812919	139.69017659880143	100.55599581010061	69.63133166061151	54.28430631000663	220.0448915767168	157.92371303353042	115.19441758685613	59.7066296059919	181.15363826745755	183.0940880498118	159.36422419319842	162.5967460019326	59.701674258264205	67.07981750755262	140.61851578873055	110.10048818599265	50.72234596273938	161.4214089728121	82.00506541927207	57.93597056538148	85.5175913522953	171.77737215511178	81.63578112330923	41.54418236688947	59.72256136368421	47.51212633893476	84.79295155250337	77.6681116721228	84.39463043543522	98.16289242845401	127.17787191339713	0.0	65.89611331051616	69.36103561460364	0.0	41.109926483527715	63.25730481159113	55.0738688364989	165.79171528666757	47.704282754474285	32.23028050539438	163.2133293736026	65.99698290490852	133.52693634366858	0.0	0.0	165.69899437649806	51.0329816054062	125.30977777170297	96.93238843119421	0.0	39.479693065761545	49.55459987785693	140.44422236209218	21.096891832317866	0.0	111.49306674324546	116.44971101125368	140.14531364544987	142.53704628707112	37.00470998430766	65.87935263616873	138.79170104858179	32.362689665318314	0.0	141.02888455430445	65.54372804396345	45.715724419544365	0.0	97.10047307065672	66.47485607460835	0.0	45.90891598615707	0.0
80000	-3410.3278222258145	-137.62546898814492	-2878.475885685788	-394.2264675518818	0.13976377165399406	0.07712467828209921	0.5105497452304165	0.2763851633612957	0.8214824215230431	228.4219751802572	0.0	12.457198450187992	3.5025197314746186	0.04410276836103324	0.0230872306502661	0.05000019030084002	0.04350817447898101	0.0021984274780684565	0.09212621026105504	0.02190159825808835	0.07267257788251127	0.011961057294162426	0.047277065923541924	0.007358161847486831	0.0025347731092260632	0.00249488839802604	0.008133331268586366	0.037843071793038925	0.03145539863147093	0.009430185284547747	0.011848420009391188	0.016160662797350196	0.13248103930723476	0.01808845918084333	0.04089480348178049	0.053350236043681186	0.023586228447869548	0.003320790255771905	0.011269791241183874	1958.5560711079384	85.15672735928972	97.74998334809817	100.03217203798275	180.52962488383068	145.65470374287466	63.77633417392874	153.41203367584913	116.19809311700966	126.16392726160745	57.686960919403646	140.78630991180682	66.20363428319531	177.43861073998275	72.60918803398116	66.51604779549118	177.34125505963243	69.5725661462533	144.0114176529963	89.81909363066275	82.26627935076291	170.521144830752	57.08533291121559	140.31854508838853	98.08170921617234	69.73354969034841	56.93870483322386	228.4219751802572	154.82333073882774	112.74679804057699	55.27118020981599	180.53005328762706	185.8532983570417	159.87880254320615	148.71231237900957	58.30669438873298	67.53917644465527	140.37103688788207	109.30280728444741	50.292673870006745	162.4287339188004	80.4666899417672	55.508234521118986	83.30527856987386	165.52520926382547	84.02276579629334	41.99150786443857	58.50972003242235	55.83590182622904	84.99004796583195	79.22657699479817	84.420782827704	98.27571039086666	125.25091387940988	0.0	65.65140051628038	71.7300977841574	0.0	39.43974964160326	65.2092626676489	53.409541411382776	151.77899856373472	39.69201970067855	32.214370452484	159.11715405129078	63.51224885867647	132.28949010627025	0.0	0.0	164.71320095463818	55.83907957897034	126.20833120590822	96.89080492387346	0.0	38.08612210512934	60.56028545910678	143.55843351820874	23.33216081757214	0.0	116.44659284940786	113.22091185086582	130.80841688409694	147.98854915955988	37.793250985373675	63.96240914503433	128.82139275341723	32.73390519181778	0.0	144.69705724247652	64.68812211764497	42.61244881129671	0.0	98.29494772561223	63.80473857575849	0.0	45.42253226507031	0.0
100000	-3395.3354458735007	-135.89004787842543	-2872.64955880445	-386.79583919062543	0.1193218172883037	0.06107702372505836	0.5445432291570553	0.2880786041442827	0.8778113632670707	229.2739983954417	0.0	9.389912180424428	4.369524073790051	0.06500598556589282	0.02114549341069029	0.007469423426956909	0.07380153756277197	0.01945362957932491	0.1338006576609708	0.0050531547261455905	0.07579514834296548	0.027413087891057477	0.01733353147412464	0.0035441769572775927	0.005956445243250736	0.006666090903241477	0.018090159092577694	0.027251057776068014	0.041979141063143086	0.01077192423264793	0.03129332262574665	0.0037558376455342417	0.15814284765491385	0.0054623928698107295	0.016687808866232983	0.06662188111173077	0.016436498708179273	0.014288956393842808	0.019866178616147246	1917.8775819345235	85.19900556653138	104.75682958649944	100.57378053189025	186.98537711658537	138.4826158826803	59.79641210406226	154.8328484441042	121.80080497217654	128.96260331236454	55.96987421901366	134.2632535136517	66.71229687980633	167.3385642005874	66.92732842612124	66.07602036933842	177.41202096791966	69.66742043377572	136.78802513707504	89.82741190614625	76.25109542766083	166.89634202801057	56.940898483145745	139.63931932491752	98.67789975757066	69.75383912375716	53.52043902499603	229.2739983954417	153.34877253201068	114.85049173938864	53.33235419072779	180.26778839167127	183.00478828276556	159.70978411886307	150.64711647734174	59.087460056481085	68.10815817093794	139.27316883613406	107.94615065345535	51.52778397541922	165.89360681738899	81.57904287782902	55.58459468796272	74.04382910901549	168.16797602214052	82.24372706079099	42.600276637098766	66.45890752498963	52.55115643240118	84.91946426676098	79.89745092387454	77.00643661871365	96.31544110275682	125.551268815992	0.0	65.94257950721526	71.46646670408344	0.0	35.1505259174675	65.0296560082238	51.34985907889408	164.90129325377913	42.79624681922716	32.0932940173596	170.93737221589967	65.5366305939385	134.82754521810944	0.0	0.0	166.31768514660448	55.42802876978613	131.9730653889451	97.12752140589988	0.0	36.35131241689166	60.13139027861398	142.14115203068476	22.852209233804555	0.0	113.48263340179057	108.88141072014606	136.87898957836836	142.2574109935474	38.1930671958778	64.96623187079074	123.91767029047593	34.07703867029664	0.0	144.14683544000096	65.74524437328539	45.07270094738866	0.0	98.5461579408368	63.65637135884193	0.0	39.81001928094668	0.0
120000	-3409.796521672274	-137.2393917670626	-2878.759071978773	-393.79805792643856	0.17408619469147468	0.09198169270996484	0.6369122131954716	0.2768974335345019	1.3433745641298527	225.62737789734655	0.0	15.96989840761374	11.38685128428427	0.04911406992247836	0.02855396465457164	0.01775679383559959	0.06934314674791536	0.007360728658523415	0.0933273056378567	0.07947444075218552	0.046658217138054715	0.036946305547964776	0.007623751973639634	0.0021836900951397423	0.02461682412556572	0.007797455476695816	0.015369621237416507	0.013454641155243892	0.01803986234944149	0.02754836100796051	0.006204383714561722	0.039629908393102965	0.05536793013609067	0.02241773839264804	0.026388191255284472	0.018930070429524493	0.01781480870058059	0.011461121709658028	0.01879556438032904	1920.1523738691574	85.65450422213883	100.52334340792001	102.659580515805	187.09547778143488	139.04112517043808	52.937561103038824	159.1613709769056	117.59731442832481	128.72554292275768	53.57678994807725	140.22984731184596	66.92721331998195	171.45420966905888	61.32414846124152	66.11826952226123	181.63496060378333	68.79110456352466	136.35641405182028	89.30517022164805	80.02797075741506	171.01449657677227	57.07532492279346	138.9048678542833	101.51203226009417	69.72068545159324	57.25978355387656	225.62737789734655	155.120766496015	123.3325198323155	53.686808343553494	177.11934377310044	184.46840351607761	158.12978080306257	150.9768841801695	58.3577773860771	67.29594240785426	145.87128045644633	110.63216623166122	42.401732672081174	162.73681155637982	81.42482187689174	55.81689496075253	84.5631734959645	167.31203247811774	81.74898456409538	41.7889709120722	58.57664091132576	61.144057109591664	78.83914072412722	80.50902948569428	82.40999070288944	96.37110136917484	122.5168265702683	0.0	66.07417348027936	71.28442788432697	0.0	34.080247499380455	67.34887090677631	53.638347192316196	165.00014972697167	47.725275721007925	32.63407068005409	171.13378456263573	65.77495586497824	134.8300133106252	0.0	0.0	163.6725573426543	43.306571745831384	137.76049560013593	96.87597086501428	0.0	40.66702688157035	60.27158645195563	151.07915338175872	24.68184220426043	0.0	109.12752406233555	106.36576675153675	140.49298140479576	146.03217755208988	35.762779438265945	64.76364099846651	125.68066464826668	30.437113527043632	0.0	146.58218600207297	65.56284454278733	44.47074147225462	0.0	96.7220681776824	66.03337680927352	0.0	46.09043202907079	0.0
140000	-3386.344977059012	-135.2905956884128	-2862.548837884782	-388.5055434858168	0.16783954394725822	0.0694814683218565	0.6227730616880497	0.25491575407939937	1.1556113514219992	216.9113727071819	0.0	5.02158257262921	11.209728520991872	0.036040135558544004	0.03084466009579993	0.05087720514071441	0.04826726764748135	0.0012120704504207413	0.21546947801838265	0.024418687031555416	0.056275686654531754	0.02500330214949027	0.002902960622199503	0.0038483787178993562	0.0020706943617988657	0.01520553544046576	0.019861390795954538	0.014781668636049326	0.061705042081449966	0.013434253251480746	0.05499038667100334	0.006519349958648018	0.11255505567231391	0.01644423343974654	0.03073635981421202	0.04693411742632118	0.02013412063540933	0.009586597551683243	0.00664699531534417	1861.9348290105536	85.4449743612966	98.67120874001118	106.46265575187708	184.90388023387027	140.1102643814342	55.66066762693591	154.86930666304247	119.26597246932016	139.85579232934995	52.82976633839557	133.6090041833457	66.56732980773138	167.64943527067388	60.604762949238435	66.38335210108315	177.94875507675943	68.41044862380126	137.75494862364752	89.01510925582984	81.65700984403999	169.60867792986727	59.984027115821256	141.64874514779683	98.4377902542428	69.87309878050901	60.3500457718678	216.9113727071819	153.32259612827417	117.63491805829692	50.08334326790676	177.26975386379303	183.5172896698656	160.2287725828108	152.38021697115383	58.25624673673929	67.16519746863658	147.86282088299254	107.56124712355097	42.38092538272033	161.05905520343418	80.82340746044375	55.02707597643913	80.15824619717284	166.75532252332272	81.24784462683137	43.65012459672768	59.0056688463216	47.040516236497005	84.74458653242527	80.11137533651916	82.04943852136816	96.5573615695232	127.82609278105339	0.0	65.96902565933158	71.14361652728525	0.0	36.35794449622792	65.2156808283736	53.584336123336875	167.06522238514503	41.55829560746511	32.310166867618456	167.59021155597452	65.72414973526973	135.31148943324757	0.0	0.0	160.59398471268284	47.28523434265154	137.49083726503562	96.18065260842921	0.0	40.11104220099634	62.87264784112431	151.58510024490246	24.809374882378645	0.0	102.49754747418439	114.84293008797003	140.96447407772808	146.88220477370305	38.182273798499416	65.74160858242577	134.09053136757484	33.926614688723774	0.0	146.77161907436673	65.04822255906888	41.34155879833936	0.0	98.60490039096862	65.43072621333623	0.0	46.61108318709343	0.0
160000	-3405.599606454137	-132.9096508124939	-2883.7595705393687	-388.93038510227416	0.16066150663731416	0.09808134054922331	0.5510534129105509	0.25006073417946234	1.1785857473819927	211.6454351652394	0.0	4.517858697630122	15.16834490802907	0.07622872974831105	0.029012942130529275	0.018951011974171095	0.08484128830032149	0.0027066676479491182	0.05573914050963889	0.0073238312023743675	0.0772163194911149	0.020783786954477503	0.002288095955401446	0.00014291199114096513	0.009761450245643925	0.0049608639190338215	0.012268538012464221	0.018314997354537933	0.021866307604883353	0.016682122811313073	0.0027666757162394004	0.018357719530284644	0.07033350261488187	0.022905466691598892	0.029556629834595314	0.03333897655307781	0.018293129850539606	0.043166177508990544	0.019506939631906927	1919.2919398923882	85.7447303409816	98.16197260378291	105.18818697453517	178.6178969848982	141.08135433191936	52.75042254807783	156.49741599049688	122.3972080894695	132.87124014908474	51.92665242167764	132.8035885853854	67.71281967328947	175.40536886906511	59.01951729085469	67.86798449896806	183.1880656578705	69.38163798882664	138.626917391212	88.6588513288277	76.74452016365473	166.55453215982274	59.439243400432375	157.7928618111372	98.39918773828178	69.50509712700247	53.55971433315539	211.6454351652394	153.74574827325807	122.84657214075428	49.20411351739384	177.87881835051834	184.66681980564533	165.63682943625975	148.67846745487125	57.84818781666782	67.36469651556433	148.09587174430825	107.41071119658102	43.926119448860106	167.00360877273732	80.82093479278709	56.51432104904971	80.58752433220178	168.20570591610073	82.16124222108424	44.19995916717483	58.73415772090674	50.35114069553186	84.5063579619725	80.38150342765464	84.20066199548998	96.78362110011125	129.10124419361424	0.0	63.53548137045113	69.42822370996547	0.0	27.93275435214919	65.80752310710949	51.68993971222617	161.49220375065264	45.17168852031073	25.651256691103832	168.60640937761144	64.55929004938179	136.1191603891445	0.0	0.0	166.2281845544799	36.42133943803363	136.61849026236374	96.66703947522596	0.0	36.814269581976205	61.93473602785397	151.08036267783166	21.637678057543116	0.0	116.67279311967813	113.42185864372163	127.927731493382	143.80695747539573	38.43782379696801	64.10733681747782	134.28629036083558	34.11993062101503	0.0	144.76595084251818	64.68768971375641	43.92697081241747	0.0	98.49484112365974	64.09267566987579	0.0	47.013763818859275	0.0
180000	-3401.692069849492	-133.97240236478368	-2875.449993180187	-392.26967430452123	0.1747157022586257	0.10122793497295951	0.829225999760118	0.33832162966476304	1.2005479526974576	211.08458372023946	0.0	7.222204939004702	18.96358674097518	0.06204379324533236	0.019964158595362845	0.030300326766682224	0.01565391213381101	0.034538890456927714	0.07530646781214867	0.01601399529042187	0.046925792642655416	0.019471810921763647	8.021189594915937e-05	0.0013483444699535466	0.006311105646354906	0.005064792628757694	0.010973087607884211	0.02011436738172551	0.04971042249745464	0.02112609028083466	0.029522865429209406	0.03219504716505952	0.10356653212589938	0.04197792834488164	0.015559800600146242	0.04111372874394979	0.04742874957941483	0.0014214534488638747	0.01727111616288847	1900.0948467363262	85.3898424063274	99.62363051751922	109.57943991496391	181.74583308579346	138.43559080052896	49.15671987231325	156.38336280465458	120.98726375077331	140.0604851870344	53.30853309342085	137.35746288178885	66.96007638096212	168.0460005729729	66.18488473249722	67.32164150369566	175.49236887014305	69.84593138102413	137.0521226871167	88.92518585150266	76.29430452384122	169.3627707640298	58.535836288194034	149.2147624789395	97.4177461256669	70.30119290529716	53.04336722070062	211.08458372023946	161.94918359095772	111.81517312901293	56.498811953851884	176.40862165951498	190.72696883962288	164.49536616554116	148.25269817890307	58.03895600421516	66.90357516028861	147.8904152129883	107.52422286588768	46.386008287821646	164.49064591239042	80.5289528723264	54.95158221137658	86.16435940487104	167.07792052755883	82.3313544449282	41.602844261939	58.90602093670138	42.71941088181239	83.4103711876645	80.11130665400452	79.35016446233683	98.33426026399204	128.3641288764429	0.0	65.58470168548713	72.4970208406119	0.0	38.46605555086053	66.65683505483548	54.01277787948963	165.60448775124357	38.308840326537954	31.413025400150367	172.31727754940047	64.87441397414239	134.15675399084625	0.0	0.0	164.9526984284585	38.66607842144041	131.033021342018	95.07527649685657	0.0	38.256713626281005	60.511102785212884	150.25081196116304	24.53918919933862	0.0	112.86508308523472	113.67527518566243	142.34271208222418	139.66661936774995	34.889375837456925	64.27155469625349	133.7887085206661	33.54807681972306	0.0	145.55023192800206	65.92002898822622	43.59267414451595	0.0	98.63659303961559	65.17617264526595	0.0	42.00876603871324	0.0
