Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
10	-3388.614	-3413.973	-3365.996	181.08	-131.397	-133.699	-129.286	618.53	-2859.935	-2880.883	-2839.289	155.02	-397.282	-406.483	-387.468	451.4	189.64	183.449	197.82	212.71	0	0	0	NA	0.73	0.69	0.1
15	-3394.085	-3417.76	-3372.031	134.33	-130.95	-133.171	-128.931	497.57	-2866.63	-2885.558	-2847.487	76.94	-396.504	-407.608	-385.041	552.64	185.558	180.453	193.265	235.96	0	0	0	NA	0.71	0.69	0.1
11	-3382.718	-3404.352	-3358.269	311.24	-131.437	-133.937	-129.381	647.44	-2857.475	-2875.255	-2839.401	318.87	-393.806	-406.385	-383.292	513.16	190.249	184.075	197.944	395.78	0	0	0	NA	0.75	0.79	0.01
3	-3388.304	-3411.758	-3364.146	246.05	-131.181	-133.626	-129.246	612.25	-2858.624	-2877.752	-2838.551	214.76	-398.499	-409.184	-388.073	641.9	188.04	183.51	194.42	403.91	0	0	0	NA	0.81	0.77	0.01
6	-3383.881	-3408.26	-3363.798	345.08	-130.977	-133.32	-129.268	766.51	-2858.298	-2876.599	-2841.245	325.69	-394.606	-404.717	-383.41	468.01	187.418	183.301	193.247	512.82	0	0	0	NA	0.75	0.73	0.05
12	-3396.57	-3420.298	-3373.559	232.69	-131.149	-133.422	-129.109	317.43	-2870.15	-2889.24	-2852.107	202.05	-395.271	-405.653	-383.492	416.16	187.166	182.088	194.877	183.14	0	0	0	NA	0.65	0.67	0.25
4	-3402.479	-3424.672	-3381.778	291.63	-131.276	-133.425	-129.171	764.4	-2876.122	-2895.489	-2859.953	293.38	-395.081	-406.612	-384.589	486.65	188.407	182.61	196.435	308.48	0	0	0	NA	0.75	0.69	0.05
18	-3403.575	-3425.364	-3379.388	247.19	-131.244	-133.545	-129.355	756.21	-2876.642	-2895.076	-2857.929	217.29	-395.689	-407.655	-385.23	409.83	187.314	183.399	193.828	519.22	0	0	0	NA	0.77	0.67	0.01
19	-3404.593	-3429.82	-3381.934	240.26	-131.186	-133.444	-129.108	603.0	-2877.173	-2897.086	-2858.389	183.11	-396.234	-406.721	-383.813	569.04	188.485	182.247	197.841	312.09	0	0	0	NA	0.73	0.77	0.01
20	-3384.193	-3406.063	-3362.082	313.77	-131.302	-133.486	-129.266	751.15	-2857.427	-2875.154	-2839.805	323.18	-395.464	-407.111	-384.437	367.37	188.814	183.371	196.176	379.35	0	0	0	NA	0.75	0.83	0.01
14	-3397.211	-3420.067	-3373.263	442.66	-131.037	-133.431	-128.889	824.32	-2871.69	-2891.603	-2854.055	331.92	-394.484	-405.282	-383.705	678.66	186.192	181.344	192.9	475.84	0	0	0	NA	0.83	0.77	0.01
17	-3395.031	-3420.115	-3373.192	265.5	-130.873	-133.065	-129.094	734.23	-2867.833	-2887.506	-2849.762	272.73	-396.325	-407.896	-386.142	387.55	187.183	182.925	193.745	500.33	0	0	0	NA	0.77	0.77	0.05
16	-3389.799	-3413.382	-3369.068	379.63	-131.19	-133.59	-129.142	556.15	-2862.665	-2880.721	-2843.471	346.23	-395.944	-407.174	-385.812	482.75	187.671	181.974	194.795	392.02	0	0	0	NA	0.83	0.79	0.01
13	-3391.679	-3415.22	-3368.506	342.22	-130.859	-133.279	-129.057	730.26	-2866.063	-2885.763	-2846.921	256.21	-394.756	-404.809	-384.877	544.36	185.712	180.984	192.115	551.78	0	0	0	NA	0.77	0.77	0.05
5	-3398.952	-3422.745	-3375.517	176.34	-130.812	-132.864	-129.121	698.57	-2874.962	-2894.132	-2856.076	150.7	-393.177	-404.293	-381.612	356.28	186.384	182.888	192.157	487.89	0	0	0	NA	0.69	0.69	0.1
7	-3395.734	-3418.298	-3372.418	234.17	-131.18	-133.494	-129.168	678.48	-2871.401	-2890.615	-2854.38	207.76	-393.154	-404.926	-382.431	382.48	187.866	182.082	194.764	332.96	0	0	0	NA	0.75	0.73	0.05
2	-3394.908	-3418.046	-3370.893	234.06	-131.119	-133.548	-129.128	684.39	-2868.016	-2888.034	-2848.753	201.08	-395.773	-407.078	-384.947	293.55	187.901	182.577	195.537	367.27	0	0	0	NA	0.71	0.71	0.01
1	-3391.095	-3414.997	-3367.733	203.07	-131.157	-133.395	-129.01	882.31	-2865.152	-2884.976	-2846.508	164.45	-394.787	-406.49	-384.279	321.9	187.65	182.794	194.168	415.58	0	0	0	NA	0.75	0.73	0.01
9	-3397.34	-3419.132	-3374.045	144.1	-131.515	-133.815	-129.258	570.38	-2870.133	-2888.13	-2851.246	165.47	-395.692	-407.075	-383.618	210.11	189.435	183.416	197.736	311.02	0	0	0	NA	0.69	0.65	0.1
8	-3396.71	-3420.844	-3374.95	219.71	-131.168	-133.595	-129.204	661.52	-2869.73	-2886.151	-2850.459	200.08	-395.812	-406.282	-383.345	405.18	188.306	182.7	195.293	363.6	0	0	0	NA	0.85	0.77	0.01
