".y."	"group1"	"group2"	"n1"	"n2"	"statistic"	"df"	"p"	"p.adj"	"p.adj.signif"
"1"	"AICc"	"100.5"	"2.58"	20	20	12.0553176513722	19	2.4e-10	6.72e-09	"****"
"2"	"AICc"	"100.5"	"23.03"	20	20	9.38429152170874	19	1.45e-08	4.06e-07	"****"
"3"	"AICc"	"100.5"	"56.0"	20	20	5.84465222385219	19	1.25e-05	0.00035	"***"
"4"	"AICc"	"100.5"	"66.0"	20	20	9.61975523229966	19	9.79e-09	2.74e-07	"****"
"5"	"AICc"	"100.5"	"HPP"	20	20	-10.4898444645046	19	2.42e-09	6.78e-08	"****"
"6"	"AICc"	"100.5"	"NHPP"	20	20	-18.5134148970111	19	1.29e-13	3.61e-12	"****"
"7"	"AICc"	"100.5"	"TPP"	20	20	12.5545310173749	19	1.2e-10	3.36e-09	"****"
"8"	"AICc"	"2.58"	"23.03"	20	20	-5.1238523078722	19	6.03e-05	0.002	"**"
"9"	"AICc"	"2.58"	"56.0"	20	20	-9.89572777484731	19	6.23e-09	1.74e-07	"****"
"10"	"AICc"	"2.58"	"66.0"	20	20	-5.91298205854349	19	1.08e-05	0.000302	"***"
"11"	"AICc"	"2.58"	"HPP"	20	20	-15.6919148883643	19	2.48e-12	6.94e-11	"****"
"12"	"AICc"	"2.58"	"NHPP"	20	20	-22.011104864925	19	5.54e-15	1.55e-13	"****"
"13"	"AICc"	"2.58"	"TPP"	20	20	1.1886320831292	19	0.249	1	"ns"
"14"	"AICc"	"23.03"	"56.0"	20	20	-4.17461570582758	19	0.000514	0.014	"*"
"15"	"AICc"	"23.03"	"66.0"	20	20	-0.323792887108574	19	0.75	1	"ns"
"16"	"AICc"	"23.03"	"HPP"	20	20	-16.6290260659611	19	8.86e-13	2.48e-11	"****"
"17"	"AICc"	"23.03"	"NHPP"	20	20	-21.3491550605641	19	9.69e-15	2.71e-13	"****"
"18"	"AICc"	"23.03"	"TPP"	20	20	4.72066727534758	19	0.000149	0.004	"**"
"19"	"AICc"	"56.0"	"66.0"	20	20	7.89904853099265	19	2.02e-07	5.66e-06	"****"
"20"	"AICc"	"56.0"	"HPP"	20	20	-12.0624830249993	19	2.37e-10	6.64e-09	"****"
"21"	"AICc"	"56.0"	"NHPP"	20	20	-18.0835182639128	19	1.97e-13	5.52e-12	"****"
"22"	"AICc"	"56.0"	"TPP"	20	20	11.0914169901842	19	9.68e-10	2.71e-08	"****"
"23"	"AICc"	"66.0"	"HPP"	20	20	-15.7253332867029	19	2.39e-12	6.69e-11	"****"
"24"	"AICc"	"66.0"	"NHPP"	20	20	-21.236977374749	19	1.07e-14	3e-13	"****"
"25"	"AICc"	"66.0"	"TPP"	20	20	6.75602827744012	19	1.87e-06	5.24e-05	"****"
"26"	"AICc"	"HPP"	"NHPP"	20	20	-10.1246894405657	19	4.31e-09	1.21e-07	"****"
"27"	"AICc"	"HPP"	"TPP"	20	20	15.4814183161659	19	3.15e-12	8.82e-11	"****"
"28"	"AICc"	"NHPP"	"TPP"	20	20	22.1403213759802	19	4.98e-15	1.39e-13	"****"
