Run	Mean_posterior	min_HPD_posterior	max_HPD_posterior	ESS_posterior	Mean_prior	min_HPD_prior	max_HPD_prior	ESS_prior	Mean_PP_lik	min_HPD_PP_lik	max_HPD_PP_lik	ESS_PP_lik	Mean_BD_lik	min_HPD_BD_lik	max_HPD_BD_lik	ESS_BD_lik	Mean_root_age	min_HPD_root_age	max_HPD_root_age	ESS_root_age	Mean_death_age	min_HPD_death_age	max_HPD_death_age	ESS_death_age	Proportion_Ts_CV	Proportion_Te_CV	burnin
15	-2114.13	-2155.311	-2070.55	337.43	-133.149	-134.664	-132.114	842.29	-1254.567	-1286.657	-1223.287	274.15	-726.414	-743.667	-709.725	482.19	185.313	183.141	188.517	665.75	0	0	0	NA	0.99	0.97	0.01
2	-2108.479	-2150.388	-2065.567	506.14	-132.682	-134.079	-131.597	917.41	-1254.15	-1286.812	-1224.571	434.15	-721.648	-740.431	-704.612	568.56	182.752	180.516	185.671	547.05	0	0	0	NA	0.98	0.95	0.01
20	-2115.49	-2156.391	-2074.253	518.08	-133.338	-135.114	-132.067	880.71	-1252.437	-1280.757	-1220.781	519.0	-729.714	-747.087	-712.612	379.9	185.596	183.172	189.075	471.94	0	0	0	NA	0.98	0.96	0.01
18	-2078.586	-2120.695	-2040.088	742.69	-133.019	-134.469	-131.885	754.49	-1234.76	-1264.287	-1208.231	687.81	-710.808	-728.584	-691.969	491.24	184.503	182.215	187.825	376.56	0	0	0	NA	0.98	1.0	0.01
4	-2101.089	-2145.819	-2060.885	562.36	-132.764	-134.035	-131.844	786.5	-1252.082	-1282.724	-1221.54	441.45	-716.243	-733.442	-695.969	545.34	183.468	181.819	186.134	695.69	0	0	0	NA	0.98	0.96	0.05
1	-2092.406	-2132.7	-2048.216	624.68	-132.983	-134.168	-131.893	724.1	-1246.702	-1280.752	-1219.463	514.47	-712.721	-731.277	-695.218	549.38	184.288	182.514	187.555	685.87	0	0	0	NA	0.98	0.96	0.01
17	-2106.94	-2148.446	-2062.041	534.31	-132.85	-134.444	-131.715	916.3	-1254.077	-1286.643	-1224.259	500.17	-720.013	-736.575	-702.338	444.29	183.16	181.657	185.794	599.92	0	0	0	NA	0.98	0.97	0.01
7	-2109.251	-2152.134	-2068.031	496.97	-133.167	-134.46	-132.042	947.71	-1247.504	-1279.757	-1215.223	453.7	-728.58	-745.984	-711.849	544.2	185.105	182.904	188.652	543.3	0	0	0	NA	0.99	0.99	0.01
9	-2099.978	-2142.904	-2056.224	559.21	-133.138	-134.547	-131.996	932.97	-1243.076	-1275.391	-1214.886	524.54	-723.764	-740.156	-706.332	591.08	184.862	183.072	187.937	350.27	0	0	0	NA	0.98	0.97	0.01
8	-2109.273	-2158.729	-2069.87	518.14	-132.644	-134.007	-131.551	959.4	-1262.736	-1295.802	-1233.29	438.24	-713.893	-733.143	-695.452	362.75	182.06	180.318	184.996	626.52	0	0	0	NA	0.98	0.94	0.01
16	-2095.167	-2136.159	-2051.327	444.65	-132.785	-134.259	-131.719	962.51	-1244.045	-1274.172	-1212.308	416.31	-718.337	-733.73	-699.193	413.39	183.1	181.069	185.85	527.74	0	0	0	NA	0.99	0.96	0.01
5	-2101.531	-2148.349	-2061.191	455.74	-133.292	-134.804	-132.24	523.12	-1249.342	-1282.088	-1221.405	418.99	-718.897	-735.035	-700.244	495.42	185.628	183.561	188.938	500.33	0	0	0	NA	0.97	0.98	0.01
19	-2131.949	-2170.543	-2087.847	408.24	-132.905	-134.317	-131.818	635.48	-1264.42	-1294.94	-1234.1	357.84	-734.625	-752.035	-716.229	485.89	184.342	182.247	188.214	242.71	0	0	0	NA	0.98	0.98	0.01
13	-2078.201	-2124.016	-2036.739	416.87	-133.09	-134.356	-132.028	694.4	-1231.11	-1262.925	-1199.286	380.92	-714.002	-730.959	-698.877	550.07	184.889	183.281	187.642	646.54	0	0	0	NA	0.98	0.98	0.05
11	-2075.646	-2119.511	-2032.285	656.37	-133.323	-134.579	-132.181	828.54	-1241.024	-1275.009	-1210.436	585.3	-701.298	-719.942	-681.548	374.83	185.979	183.649	189.501	486.61	0	0	0	NA	0.99	0.95	0.01
10	-2126.735	-2169.895	-2087.66	566.04	-133.189	-134.597	-132.027	514.45	-1263.97	-1292.799	-1232.625	493.33	-729.576	-748.016	-713.374	576.83	185.684	183.291	188.891	502.3	0	0	0	NA	1.0	0.97	0.01
6	-2070.575	-2113.421	-2028.373	580.93	-133.213	-134.716	-132.177	506.02	-1232.495	-1264.065	-1202.894	562.56	-704.867	-724.068	-688.905	411.72	184.985	182.827	188.052	493.49	0	0	0	NA	1.0	0.98	0.01
3	-2076.885	-2118.084	-2033.81	647.51	-132.792	-134.149	-131.864	619.06	-1235.43	-1263.744	-1202.573	535.44	-708.663	-725.223	-689.136	396.62	182.833	181.746	184.92	801.57	0	0	0	NA	0.98	0.95	0.01
14	-2077.087	-2122.323	-2035.582	473.14	-133.401	-135.028	-132.046	741.01	-1229.725	-1261.125	-1196.606	451.9	-713.961	-730.471	-697.027	375.97	186.73	183.67	190.456	448.72	0	0	0	NA	1.0	0.94	0.01
12	-2092.424	-2133.222	-2049.051	432.83	-133.155	-134.435	-131.938	920.6	-1241.375	-1271.175	-1212.064	423.5	-717.895	-735.329	-700.461	412.44	185.365	183.261	188.746	391.9	0	0	0	NA	0.97	0.95	0.01
