it	posterior	prior	BD_lik	root_age	death_age	hypL	hypM	lambda_0	lambda_1	lambda_2	lambda_3	lambda_4	lambda_5	lambda_6	lambda_7	lambda_8	lambda_9	lambda_10	lambda_11	lambda_12	mu_0	mu_1	mu_2	mu_3	mu_4	mu_5	mu_6	mu_7	mu_8	mu_9	mu_10	mu_11	mu_12	tot_length
0	-1207.975786922782	-131.81724114154432	-1076.1585457812375	184.459295810202	0.0	1.1	1.1	0.16246534262850412	0.2991651570101194	0.12662516190779632	0.18535027196318116	0.7173735677086185	0.9036464084994926	0.17160197249796177	0.10029207069544253	0.20708347394939156	0.3717442065836133	0.6526279037241765	0.21772884890822766	0.20895722299483002	0.2784642048132421	0.17428330389957974	0.11771841882661929	0.32784069665004467	0.19054225980123385	0.3023478353978049	0.21646451534495206	0.19682682116216021	0.11967541403878049	0.5556612765355265	0.5200378831672976	0.3519707460329583	0.4701613576550574	1109.800449283075
20000	-961.0615130835288	-129.26359812417007	-831.7979149593586	184.459295810202	0.0	6.649277453841984	8.890018126547247	0.1844264815890557	0.16311538177762336	0.38503331523227136	0.19611880805700196	0.09526121294560853	0.10458626889547941	0.19442600653854233	0.2784388013004606	0.03447970073137205	0.007098889537519958	0.45045956888381417	0.045532366583731894	0.13823864463286417	0.10390023336922394	0.08891088397193839	0.16454866121408906	0.10022313934853394	0.0778740922108522	0.12393433284650811	0.49975816306806903	0.2014964882273262	0.11274853260758583	0.6497692575193424	0.2228397032038251	0.07589569598830849	0.009751246134059857	1109.800449283075
40000	-963.8880001756983	-129.71290388775046	-834.1750962879478	184.459295810202	0.0	5.691617746942718	4.240772612979499	0.1880013266992534	0.15972770721833532	0.28759341011650663	0.194637013399439	0.15369682581232758	0.10026844253841376	0.059795477684698554	0.257027990170439	0.020994814962860618	0.06516320865689981	0.4223477596545205	0.0045807298297508734	0.1591245564697359	0.16346891118737236	0.20543582515973793	0.2538917398700697	0.14600926693979507	0.09027706437978282	0.38242885798120974	0.42931636138539525	0.11345189271702603	0.10776647392112097	0.4281764026346825	0.2660541547822451	0.09365717826528745	0.01014149691138722	1109.800449283075
60000	-958.2680967367014	-128.8678302133121	-829.4002665233893	184.459295810202	0.0	11.052099784096367	10.879458811726774	0.17790541270529261	0.170089754050602	0.3350704285487941	0.15746395303996974	0.09800071458986342	0.1588923152213203	0.31948426183147427	0.22813759130608388	0.017054521653432204	0.02389227173441317	0.2934221084881822	0.03273086636728877	0.18958081810935543	0.16874307124534094	0.06021607268733624	0.27371435999323485	0.18666418941059487	0.046130248409435005	0.1556911312435422	0.3723408245029163	0.22560616177571385	0.07324946695240782	0.5731744932508641	0.08671419941425927	0.04282047316233243	0.008944158702394218	1109.800449283075
80000	-957.9096696748095	-129.61156309490104	-828.2981065799084	184.459295810202	0.0	18.58875147859971	3.8874005692524145	0.1652672876114342	0.11630135163763093	0.4163234954040792	0.18056884608066479	0.16561147587364808	0.11397827150175689	0.0646613418041172	0.2826696906219807	0.03429037519644962	0.02705534997025667	0.24165935632840532	0.03222563572094275	0.20988950301199594	0.13915656702077409	0.15588294856144871	0.23280933291253966	0.1349970161145971	0.08769120623674909	0.23735962906696131	0.2533248061421031	0.0936689384723543	0.05396374530334451	0.527955786840585	0.03775950140681819	0.07910052068760866	0.016238193612220026	1109.800449283075
100000	-962.4927488764656	-129.34000897064277	-833.1527399058228	184.459295810202	0.0	9.34015480851455	18.320490645778438	0.22235284959105353	0.11847541347006446	0.3111354039223957	0.10488927072860943	0.10362016287653344	0.14827837645071096	0.25365417571213716	0.25343485249984216	0.03142128099359216	0.14694222486571304	0.32289864832548504	0.022338317484711576	0.17716401812734225	0.12772547414994376	0.14313996605375703	0.16640229543572196	0.17853827657302518	0.057277266159775846	0.19665040951393004	0.4446514043438725	0.06838809264832688	0.0962574724664396	0.4188001795626794	0.03871375064744727	0.03561212985837685	0.04129916130850594	1109.800449283075
120000	-964.8912000843976	-129.33160524795278	-835.5595948364448	184.459295810202	0.0	13.230679885383429	5.386926344524056	0.15187964986801974	0.1495488635918049	0.2830414843180261	0.18261287239612772	0.16593156330914416	0.20159522492893664	0.27625215642595985	0.2794558169728391	0.08113569270912518	0.07814273305730195	0.3849879056376043	0.02879131794087519	0.17981046264180253	0.18506774556003228	0.08584117870528657	0.11138114570865858	0.11235824148495996	0.04881027326348172	0.1926561346071364	0.37012588752588554	0.14902155822659852	0.1557979213937117	0.8809875698801881	0.0818788786898196	0.021310244470572576	0.016976438008725205	1109.800449283075
140000	-962.1381871651172	-129.94549952985972	-832.1926876352575	184.459295810202	0.0	18.990155283322064	14.97964747684046	0.2368052752048144	0.13624099795704597	0.2845007085490103	0.11196184516733025	0.10832012733625553	0.19210341654103158	0.08829776137204483	0.20146993513787387	0.030543378872754552	0.006811340255399129	0.28534581669836945	0.04198513799483981	0.2167381231054171	0.22192159587001808	0.14744649181844466	0.18519684252976754	0.14473354860537102	0.11303085070053401	0.24920023851217987	0.19802589560680248	0.10306864527421672	0.0741966879453628	0.3869103287468445	0.4324261402142389	0.08753614466030106	0.012485850718983145	1109.800449283075
160000	-960.1023624661443	-130.3407472197844	-829.76161524636	184.459295810202	0.0	12.319948315368201	0.9062546477076867	0.10420594608386319	0.122320332161437	0.3184008440168196	0.18156717054353774	0.10618164992290022	0.20347673290362242	0.14480698401599662	0.20592965423455425	0.026076204635605907	0.03563553740518664	0.15672819843591748	0.013070060795601829	0.1881022205972572	0.22913066997169898	0.09391778479779121	0.15098623644219308	0.09845004152995708	0.09700202626634948	0.13794775922149324	0.39407597492131347	0.1430310661376497	0.07982177506034578	0.26364762086454707	0.1515824938664613	0.0424894871225314	0.016921184854980925	1109.800449283075
180000	-964.8956865224629	-129.44867126437	-835.447015258093	184.459295810202	0.0	2.5983314112188904	18.381775831556038	0.1472009792833424	0.1556278556981485	0.40877660864173215	0.093436619154242	0.08424115138771854	0.09579760848477865	0.1865478248866063	0.27172453225900467	0.021498314438830612	0.0706886299237173	0.4647705268694786	0.014259910888338185	0.2031766364290101	0.1462059893269269	0.14145002893993697	0.17550539657881584	0.1575736488484119	0.13710862895711567	0.25191432476855596	0.45592837616828197	0.23804612790809385	0.075239282664018	0.9336753929730441	0.11280901936966879	0.09734924972920372	0.006648934060121733	1109.800449283075
