Iteration	Posterior	Likelihood	Prior	clado_type_probs[1]	clado_type_probs[2]	epoch_times[1]	epoch_times[2]	epoch_times[3]	epoch_times[4]	epoch_times[5]	epoch_times[6]	epoch_times[7]	epoch_times[8]	epoch_times[9]	epoch_times[10]	epoch_times[11]	epoch_times[12]	epoch_times[13]	epoch_times[14]	extirpation_rate	p_allopatry	p_sympatry	rate_bg
0	-123.3315	-88.09703	-35.23448	0.248454	0.751546	244.477	230.851	203.513	198.579	155.145	134.261	116.846	90.7368	76.6775	44.5794	37.0121	13.7776	3.56395	0	0.3649218	0.7515463	0.2484537	0.01
10	-118.1795	-81.32721	-36.85227	0.282733	0.717267	253.883	239.471	207.945	189.264	152.468	135.209	115.757	93.0523	78.903	45.4148	32.6435	10.4988	4.10304	0	0.8896606	0.7172666	0.2827334	0.09836766
20	-117.8064	-79.5917	-38.21471	0.0657733	0.934227	244.569	229.651	203.356	181.842	142.869	129.863	116.572	96.8176	72.9716	44.3784	34.413	11.7591	4.78663	0	1.880659	0.9342267	0.06577333	0.0578469
30	-117.3881	-81.68406	-35.70409	0.0986748	0.901325	242.98	235.981	202.596	193.804	147.766	134.85	114.343	98.1079	63.5585	49.0055	29.972	15.0299	4.87601	0	0.9712705	0.9013252	0.09867477	0.02806504
40	-118.2814	-80.85029	-37.43106	0.0170068	0.982993	241.724	230.887	200.393	190.71	141.247	139.327	118.27	96.5559	63.2923	44.4339	30.4673	17.4327	4.27631	0	1.173209	0.9829932	0.0170068	0.1131624
50	-115.9428	-80.92109	-35.02174	0.484894	0.515106	248.704	226.949	205.356	186.388	144.626	137.794	114.438	92.4126	68.1676	46.9831	27.4531	16.4681	4.99974	0	0.7292997	0.5151059	0.4848941	0.0178921
60	-119.2969	-81.22079	-38.07614	0.629999	0.370001	246.255	225.025	217.621	196.345	147.82	134.387	116.385	94.4718	74.4223	43.7264	30.9411	14.1341	4.90607	0	1.446453	0.3700006	0.6299994	0.126266
70	-117.7787	-79.18909	-38.58963	0.843778	0.156222	244.753	234.467	214.745	199.22	142.27	128.302	117.892	81.7689	76.0894	56.8505	33.8682	10.7829	4.20144	0	1.994084	0.1562223	0.8437777	0.06602644
80	-116.5546	-79.82432	-36.73033	0.68244	0.31756	246.335	238.248	211.678	187.965	147.38	124.715	111.685	87.9957	79.9609	48.1287	23.2259	17.879	4.83033	0	1.13418	0.3175595	0.6824405	0.06022973
90	-116.5417	-78.74339	-37.79834	0.321388	0.678612	249.304	229.062	205.829	195.461	140.392	126.914	115.361	84.1032	73.8671	56.7279	21.2476	10.7557	3.63043	0	1.471625	0.678612	0.321388	0.0907981
100	-117.9603	-79.84428	-38.11605	0.47344	0.52656	247.47	237.169	209.872	198.083	149.491	139.943	101.579	81.0257	67.6009	50.9698	21.7658	18.4861	3.34058	0	1.713667	0.5265602	0.4734398	0.0749075
110	-115.9057	-78.58532	-37.32037	0.438336	0.561664	255.792	226.01	213.475	183.342	145.511	123.847	101.438	83.2669	72.5923	50.0465	36.3553	17.3983	4.06822	0	1.293762	0.5616638	0.4383362	0.08062284
120	-116.0655	-78.64672	-37.41881	0.392609	0.607391	242.357	220.951	215.125	197.098	141.688	124.591	101.254	80.4198	67.5283	46.4448	39.3892	19.7862	3.79726	0	1.232464	0.6073915	0.3926085	0.1001158
130	-117.3696	-79.86665	-37.50292	0.452104	0.547896	249.815	223.102	213.196	182.651	158.446	128.103	113.164	90.4848	72.1557	50.2539	39.985	18.0314	3.9877	0	1.461178	0.5478961	0.4521039	0.06904896
140	-116.1382	-78.93109	-37.20713	0.873199	0.126801	248.616	234.342	218.074	184.52	151.285	122.499	107.956	82.2853	73.3997	59.4273	22.7714	16.545	4.50255	0	1.274039	0.1268009	0.8731991	0.07480917
150	-114.7876	-77.52452	-37.26312	0.386798	0.613202	244.072	230.324	213.732	193.24	157.95	127.395	107.692	82.5437	68.8292	59.1261	21.8116	13.1372	4.99323	0	1.25722	0.6132024	0.3867976	0.08172727
160	-115.0109	-77.21296	-37.79792	0.302273	0.697727	241.372	224.587	204.853	189.741	144.606	127.19	103.302	81.2208	72.7061	56.3737	37.5613	17.2372	4.55021	0	1.496767	0.697727	0.302273	0.08614756
170	-117.3877	-79.93088	-37.45681	0.0640065	0.935994	258.414	222.855	215.046	184.101	156.473	132.485	109.838	80.213	67.1655	51.6843	29.5632	14.5249	4.09954	0	1.013404	0.9359935	0.06400648	0.1521544
180	-116.9917	-80.3558	-36.63593	0.299211	0.700789	258.602	228.332	209.181	189.761	156.778	135.598	110.039	82.0515	70.3224	44.2578	27.4345	15.11	4.22585	0	1.212803	0.7007891	0.2992109	0.04748897
190	-118.0107	-80.82483	-37.18587	0.208407	0.791593	255.456	224.709	205.596	194.996	157.751	137.865	103.986	87.0143	68.6444	56.1425	26.0323	12.255	4.72882	0	1.669673	0.7915933	0.2084067	0.03245213
200	-116.0634	-78.13053	-37.93284	0.144711	0.855289	255.208	231.398	200.581	189.247	151.357	130.452	113.641	85.1218	77.6119	50.4532	32.4875	15.0319	4.14221	0	1.514083	0.8552893	0.1447107	0.09509707
210	-116.3189	-77.79968	-38.51919	0.274293	0.725707	251.499	229.195	200.445	183.934	145.117	136.767	116.995	82.3341	78.4053	42.4174	24.4408	5.79168	4.95945	0	1.798892	0.7257065	0.2742935	0.09343911
220	-116.6963	-79.33836	-37.35797	0.075589	0.924411	249.284	221.541	205.337	191.673	148.786	138.732	115.995	87.1677	75.9136	55.3515	22.4597	5.69646	4.38619	0	1.070537	0.924411	0.07558896	0.1258197
230	-115.242	-77.92063	-37.32141	0.4987	0.5013	249.341	222.103	200.045	198.47	148.237	137.303	100.497	82.0083	72.3327	49.5317	23.3574	18.1913	4.83787	0	1.355117	0.5013005	0.4986995	0.07147105
240	-116.6582	-79.79208	-36.86609	0.645026	0.354974	256.61	221.589	219.892	184.481	156.889	136.921	100.001	89.289	76.0815	41.741	21.6367	14.7164	4.88741	0	1.041328	0.3549741	0.6450259	0.08067915
