scientificName	earliestAge	latestAge	higherGeography
Acanthoscyllium	85.8	83.601	Tethys
Adnetoscyllium	83.6	80.601	Tethys
Adnetoscyllium	83.6	80.601	Tethys
Adnetoscyllium	83.6	80.601	Tethys
Adnetoscyllium	83.6	80.601	Tethys
Adnetoscyllium	83.6	80.601	Tethys
Adnetoscyllium	83.6	80.601	Tethys
Adnetoscyllium	85.8	83.601	Tethys
Adnetoscyllium	85.8	83.601	Tethys
Adnetoscyllium	86.3	83.601	Tethys
Adnetoscyllium	100.5	96.201	Tethys
Adnetoscyllium	92.9	91.401	Tethys
Almascyllium	85.8	83.601	Tethys
Almascyllium	100.5	96.201	Tethys
Annea	100.5	96.201	Tethys
Brachaelurus	38	33.901	Tethys
Brachaelurus	15.97	3.601	Outside_Tethys
Cantioscyllium	76.4	72.101	Outside_Tethys
Cantioscyllium	86.3	83.601	Outside_Tethys
Cantioscyllium	89.8	86.301	Outside_Tethys
Cantioscyllium	100.5	96.201	Tethys
Cantioscyllium	83.6	72.101	Outside_Tethys
Cantioscyllium	100.5	93.901	Tethys
Cantioscyllium	100.5	89.801	Outside_Tethys
Cantioscyllium	100.5	93.901	Outside_Tethys
Cantioscyllium	89.8	86.301	Outside_Tethys
Cantioscyllium	91.4	89.801	Outside_Tethys
Cantioscyllium	92.9	91.401	Outside_Tethys
Cantioscyllium	93.9	89.801	Outside_Tethys
Cantioscyllium	100.5	96.201	Tethys
Cantioscyllium	100.5	96.201	Tethys
Cantioscyllium	100.5	96.201	Tethys
Cantioscyllium	100.5	96.201	Tethys
Cantioscyllium	100.5	96.201	Tethys
Cantioscyllium	100.5	93.901	Tethys
Cantioscyllium	89.8	86.301	Tethys
Cantioscyllium	92.9	91.401	Tethys
Cantioscyllium	92.9	91.401	Tethys
Cantioscyllium	95.5	93.901	Tethys
Cantioscyllium	95.5	93.901	Tethys
Cantioscyllium	95.5	93.901	Tethys
Cantioscyllium	70.1	66.001	Outside_Tethys
Cantioscyllium	70.6	66.001	Outside_Tethys
Cantioscyllium	70.6	66.001	Outside_Tethys
Cantioscyllium	76.4	72.101	Outside_Tethys
Cantioscyllium	83.6	72.101	Outside_Tethys
Cantioscyllium	85.8	83.601	Tethys
Cantioscyllium	93.9	89.801	Tethys
Cantioscyllium	76.4	70.101	Outside_Tethys
Cantioscyllium	89.8	86.301	Outside_Tethys
Cantioscyllium	70.1	66.001	Outside_Tethys
Cantioscyllium	83.6	80.601	Outside_Tethys
Cantioscyllium	89.8	83.601	Tethys
Cantioscyllium	89.8	86.301	Tethys
Cantioscyllium	83.6	72.101	Outside_Tethys
Cantioscyllium	83.6	72.101	Outside_Tethys
Cantioscyllium	100.5	96.201	Outside_Tethys
Cantioscyllium	72.1	66.001	Outside_Tethys
Cantioscyllium	83.6	72.101	Outside_Tethys
Cantioscyllium	86.3	83.601	Outside_Tethys
Cantioscyllium	86.3	83.601	Outside_Tethys
Cantioscyllium	89.8	86.301	Outside_Tethys
Cantioscyllium	85.8	83.601	Tethys
Cantioscyllium	100.5	96.201	Tethys
Cantioscyllium	70.1	66.001	Tethys
Cederstroemia	76.4	72.101	Tethys
Cederstroemia	83.6	80.601	Tethys
Cederstroemia	83.6	80.601	Tethys
Cederstroemia	83.6	80.601	Tethys
Cederstroemia	83.6	80.601	Tethys
Cederstroemia	83.6	80.601	Tethys
Cederstroemia	85.8	83.601	Tethys
Cederstroemia	83.6	80.601	Tethys
Cederstroemia	91.4	89.801	Tethys
Cederstroemia	93.9	89.801	Tethys
Cederstroemia	100.5	96.201	Tethys
Cederstroemia	100.5	96.201	Tethys
Cederstroemia	92.9	91.401	Tethys
Cederstroemia	96.2	95.501	Tethys
Cederstroemia	86.3	83.601	Outside_Tethys
Cederstroemia	76.4	72.101	Tethys
Cederstroemia	100.5	96.201	Tethys
Cederstroemia	89.8	86.301	Tethys
Cederstroemia	76.4	72.101	Outside_Tethys
Cederstroemia	83.6	72.101	Outside_Tethys
Cederstroemia	86.3	83.601	Outside_Tethys
Chiloscyllium	72.1	66.001	Outside_Tethys
Chiloscyllium	76.4	72.101	Tethys
Chiloscyllium	76.4	72.101	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	83.6	80.601	Tethys
Chiloscyllium	85.8	83.601	Tethys
Chiloscyllium	85.8	83.601	Tethys
Chiloscyllium	85.8	83.601	Tethys
Chiloscyllium	85.8	83.601	Tethys
Chiloscyllium	86.3	83.601	Tethys
Chiloscyllium	76.4	72.101	Tethys
Chiloscyllium	86.3	83.601	Outside_Tethys
Chiloscyllium	91.4	89.801	Outside_Tethys
Chiloscyllium	91.4	89.801	Outside_Tethys
Chiloscyllium	92.9	91.401	Outside_Tethys
Chiloscyllium	93.9	89.801	Outside_Tethys
Chiloscyllium	93.9	89.801	Tethys
Chiloscyllium	56	47.801	Tethys
Chiloscyllium	56	47.801	Tethys
Chiloscyllium	56	47.801	Tethys
Chiloscyllium	56	47.801	Tethys
Chiloscyllium	95.5	93.901	Tethys
Chiloscyllium	61.6	59.201	Tethys
Chiloscyllium	61.6	59.201	Tethys
Chiloscyllium	76.4	72.101	Outside_Tethys
Chiloscyllium	83.6	72.101	Outside_Tethys
Chiloscyllium	83.6	72.101	Outside_Tethys
Chiloscyllium	59.2	56.001	Tethys
Chiloscyllium	38	33.901	Tethys
Chiloscyllium	38	33.901	Tethys
Chiloscyllium	100.5	96.201	Tethys
Chiloscyllium	100.5	96.201	Tethys
Chiloscyllium	100.5	96.201	Tethys
Chiloscyllium	100.5	96.201	Tethys
Chiloscyllium	100.5	93.901	Tethys
Chiloscyllium	23.03	15.971	Outside_Tethys
Chiloscyllium	13.5	6.5	Outside_Tethys
Chiloscyllium	70.1	66.001	Outside_Tethys
Chiloscyllium	33.9	28.101	Outside_Tethys
Chiloscyllium	70.1	66.001	Outside_Tethys
Chiloscyllium	57.1	55.961	Outside_Tethys
Chiloscyllium	57.1	55.961	Outside_Tethys
Chiloscyllium	100.5	93.901	Outside_Tethys
Chiloscyllium	70.1	66.001	Outside_Tethys
Chiloscyllium	70.1	66.001	Outside_Tethys
Chiloscyllium	70.1	66.001	Outside_Tethys
Chiloscyllium	70.1	66.001	Outside_Tethys
Chiloscyllium	72.1	70.101	Outside_Tethys
Chiloscyllium	76.4	70.101	Outside_Tethys
Chiloscyllium	86.3	72.101	Outside_Tethys
Chiloscyllium	86.3	83.601	Outside_Tethys
Chiloscyllium	86.3	83.601	Outside_Tethys
Chiloscyllium	89.8	86.301	Outside_Tethys
Chiloscyllium	92.9	91.401	Outside_Tethys
Chiloscyllium	93.9	89.801	Outside_Tethys
Chiloscyllium	96.2	95.501	Outside_Tethys
Chiloscyllium	47.8	41.001	Tethys
Chiloscyllium	56.78	55.861	Tethys
Chiloscyllium	72.1	70.101	Tethys
Chiloscyllium	72.1	70.101	Tethys
Chiloscyllium	100.5	96.201	Tethys
Chiloscyllium	47.8	41.001	Tethys
Chiloscyllium	50.5	47.801	Tethys
Chiloscyllium	70.1	66.001	Tethys
Chiloscyllium	72.1	70.101	Tethys
Chiloscyllium	72.1	70.101	Tethys
Chiloscyllium	76.4	72.101	Tethys
Chiloscyllium	83.6	72.101	Tethys
Chiloscyllium	86.3	83.601	Tethys
Chiloscyllium	89.8	86.301	Tethys
Chiloscyllium	89.8	86.301	Tethys
Chiloscyllium	93.9	89.801	Tethys
Chiloscyllium	95.5	93.901	Tethys
Chiloscyllium	92.9	91.401	Tethys
Chiloscyllium	92.9	91.401	Tethys
Chiloscyllium	95.5	93.901	Tethys
Coelometlaouia	42.5	41	Outside_Tethys
Coelometlaouia	52.5	51	Outside_Tethys
Cretorectolobus	72.1	66.001	Outside_Tethys
Cretorectolobus	76.4	72.101	Outside_Tethys
Cretorectolobus	83.6	72.101	Outside_Tethys
Cretorectolobus	70.1	66.001	Outside_Tethys
Cretorectolobus	70.6	66.001	Outside_Tethys
Cretorectolobus	72.1	66.001	Outside_Tethys
Cretorectolobus	72.1	66.001	Outside_Tethys
Cretorectolobus	72.1	70.101	Outside_Tethys
Cretorectolobus	76.4	72.101	Outside_Tethys
Cretorectolobus	83.6	72.101	Outside_Tethys
Cretorectolobus	83.6	72.101	Outside_Tethys
Cretorectolobus	83.6	72.101	Outside_Tethys
Cretorectolobus	96.2	93.901	Outside_Tethys
Cretorectolobus	100.5	96.201	Outside_Tethys
Cretorectolobus	72.1	70.101	Outside_Tethys
Cretorectolobus	96.2	95.501	Outside_Tethys
Delpitoscyllium	66	61.601	Tethys
Delpitoscyllium	60.52	57.101	Outside_Tethys
Delpitoscyllium	61.6	59.201	Outside_Tethys
Delpitoscyllium	61.6	59.201	Outside_Tethys
Delpitoscyllium	55.7	50	Outside_Tethys
Delpitoscyllium	59.2	56.001	Tethys
Delpitoscyllium	59.2	56.001	Tethys
Delpitoscyllium	59.2	56.001	Tethys
Delpitoscyllium	61.6	59.201	Tethys
Delpitoscyllium	66	61.601	Tethys
Delpitoscyllium	66	61.601	Tethys
Eometlaouia	59.2	56.001	Tethys
Eometlaouia	56	47.801	Tethys
Eometlaouia	56	47.801	Tethys
Eostegostoma	41	38.001	Tethys
Eostegostoma	56	47.801	Tethys
Eostegostoma	56	47.801	Tethys
Eostegostoma	56	47.801	Tethys
Eostegostoma	56	47.801	Tethys
Eostegostoma	56	47.801	Tethys
Eostegostoma	47.8	41.001	Outside_Tethys
Eostegostoma	47.8	38.001	Tethys
Eostegostoma	47.8	38.001	Tethys
Eostegostoma	50.5	47.801	Tethys
Eostegostoma	47.8	41.001	Tethys
Eostegostoma	47.8	41.001	Tethys
